type;number of algorithm;size;time;
рандом от 0 до 4000_1;0;250;239703;
рандом от 0 до 4000_1;1;250;689970;
рандом от 0 до 4000_1;2;250;673987;
рандом от 0 до 4000_1;3;250;794407;
рандом от 0 до 4000_1;4;250;30606;
рандом от 0 до 4000_1;5;250;74466;
рандом от 0 до 4000_1;6;250;179670;
рандом от 0 до 4000_1;7;250;78061;
рандом от 0 до 4000_1;8;250;54311;
рандом от 0 до 4000_1;9;250;25744;
рандом от 0 до 4000_1;10;250;284609;
рандом от 0 до 4000_1;11;250;32373;
рандом от 0 до 4000_1;12;250;42907;
рандом от 0 до 4000_1;0;300;326650;
рандом от 0 до 4000_1;1;300;818015;
рандом от 0 до 4000_1;2;300;900356;
рандом от 0 до 4000_1;3;300;1023049;
рандом от 0 до 4000_1;4;300;32503;
рандом от 0 до 4000_1;5;300;85432;
рандом от 0 до 4000_1;6;300;246085;
рандом от 0 до 4000_1;7;300;91386;
рандом от 0 до 4000_1;8;300;71726;
рандом от 0 до 4000_1;9;300;26650;
рандом от 0 до 4000_1;10;300;432206;
рандом от 0 до 4000_1;11;300;41785;
рандом от 0 до 4000_1;12;300;51742;
почти отсортирован_1;0;50;4750;
почти отсортирован_1;1;50;9525;
почти отсортирован_1;2;50;38003;
почти отсортирован_1;3;50;442;
почти отсортирован_1;4;50;6731;
почти отсортирован_1;5;50;10387;
почти отсортирован_1;6;50;929;
почти отсортирован_1;7;50;9899;
почти отсортирован_1;8;50;34939;
почти отсортирован_1;9;50;6486;
почти отсортирован_1;10;50;8010;
почти отсортирован_1;11;50;2533;
почти отсортирован_1;12;50;3071;
почти отсортирован_1;0;100;7506;
почти отсортирован_1;1;100;45995;
почти отсортирован_1;2;100;146907;
почти отсортирован_1;3;100;1014;
почти отсортирован_1;4;100;14620;
почти отсортирован_1;5;100;27187;
почти отсортирован_1;6;100;1586;
почти отсортирован_1;7;100;24174;
почти отсортирован_1;8;100;145167;
почти отсортирован_1;9;100;11625;
почти отсортирован_1;10;100;48271;
почти отсортирован_1;11;100;7267;
почти отсортирован_1;12;100;9238;
почти отсортирован_1;0;150;17645;
почти отсортирован_1;1;150;110369;
почти отсортирован_1;2;150;431139;
почти отсортирован_1;3;150;2957;
почти отсортирован_1;4;150;39407;
почти отсортирован_1;5;150;54799;
почти отсортирован_1;6;150;2909;
почти отсортирован_1;7;150;44513;
почти отсортирован_1;8;150;309202;
почти отсортирован_1;9;150;54584;
почти отсортирован_1;10;150;90746;
почти отсортирован_1;11;150;11667;
почти отсортирован_1;12;150;15572;
почти отсортирован_1;0;200;22189;
почти отсортирован_1;1;200;185491;
почти отсортирован_1;2;200;644337;
почти отсортирован_1;3;200;5804;
почти отсортирован_1;4;200;36639;
почти отсортирован_1;5;200;77368;
почти отсортирован_1;6;200;4436;
почти отсортирован_1;7;200;57273;
почти отсортирован_1;8;200;753124;
почти отсортирован_1;9;200;60092;
почти отсортирован_1;10;200;197939;
почти отсортирован_1;11;200;19488;
почти отсортирован_1;12;200;24179;
почти отсортирован_1;0;250;47881;
почти отсортирован_1;1;250;375749;
почти отсортирован_1;2;250;1027462;
почти отсортирован_1;3;250;8116;
почти отсортирован_1;4;250;50998;
почти отсортирован_1;5;250;103613;
почти отсортирован_1;6;250;6269;
почти отсортирован_1;7;250;72433;
почти отсортирован_1;8;250;967004;
почти отсортирован_1;9;250;48520;
почти отсортирован_1;10;250;295935;
почти отсортирован_1;11;250;26474;
почти отсортирован_1;12;250;31161;
почти отсортирован_1;0;300;41168;
почти отсортирован_1;1;300;360655;
