Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
1;10000;2;1900;Алгоритм КМП с применением уточненных граней;140214
1;10000;2;1900;Поиск с применением автомата КМП;145577
1;10000;2;2000;Наивный алгоритм;108300
1;10000;2;2000;Алгоритм КМП с применением стандартных граней;132805
1;10000;2;2000;Алгоритм КМП с применением уточненных граней;134570
1;10000;2;2000;Поиск с применением автомата КМП;147953
1;10000;2;2100;Наивный алгоритм;112295
1;10000;2;2100;Алгоритм КМП с применением стандартных граней;123025
1;10000;2;2100;Алгоритм КМП с применением уточненных граней;181993
1;10000;2;2100;Поиск с применением автомата КМП;142885
1;10000;2;2200;Наивный алгоритм;100162
1;10000;2;2200;Алгоритм КМП с применением стандартных граней;108283
1;10000;2;2200;Алгоритм КМП с применением уточненных граней;118527
1;10000;2;2200;Поиск с применением автомата КМП;140483
1;10000;2;2300;Наивный алгоритм;98578
1;10000;2;2300;Алгоритм КМП с применением стандартных граней;102990
1;10000;2;2300;Алгоритм КМП с применением уточненных граней;109667
1;10000;2;2300;Поиск с применением автомата КМП;155150
1;10000;2;2400;Наивный алгоритм;112170
1;10000;2;2400;Алгоритм КМП с применением стандартных граней;120440
1;10000;2;2400;Алгоритм КМП с применением уточненных граней;131761
1;10000;2;2400;Поиск с применением автомата КМП;215723
1;10000;2;2500;Наивный алгоритм;106926
1;10000;2;2500;Алгоритм КМП с применением стандартных граней;127393
1;10000;2;2500;Алгоритм КМП с применением уточненных граней;137747
1;10000;2;2500;Поиск с применением автомата КМП;167218
1;10000;2;2600;Наивный алгоритм;111939
1;10000;2;2600;Алгоритм КМП с применением стандартных граней;120012
1;10000;2;2600;Алгоритм КМП с применением уточненных граней;140251
1;10000;2;2600;Поиск с применением автомата КМП;150819
1;10000;2;2700;Наивный алгоритм;97475
1;10000;2;2700;Алгоритм КМП с применением стандартных граней;123767
1;10000;2;2700;Алгоритм КМП с применением уточненных граней;190404
1;10000;2;2700;Поиск с применением автомата КМП;195297
1;10000;2;2800;Наивный алгоритм;104424
1;10000;2;2800;Алгоритм КМП с применением стандартных граней;120437
1;10000;2;2800;Алгоритм КМП с применением уточненных граней;133332
1;10000;2;2800;Поиск с применением автомата КМП;168538
1;10000;2;2900;Наивный алгоритм;97305
1;10000;2;2900;Алгоритм КМП с применением стандартных граней;115573
1;10000;2;2900;Алгоритм КМП с применением уточненных граней;127341
1;10000;2;2900;Поиск с применением автомата КМП;165577
1;10000;2;3000;Наивный алгоритм;98158
1;10000;2;3000;Алгоритм КМП с применением стандартных граней;115107
1;10000;2;3000;Алгоритм КМП с применением уточненных граней;198591
1;10000;2;3000;Поиск с применением автомата КМП;174344
1;10000;4;100;Наивный алгоритм;74148
1;10000;4;100;Алгоритм КМП с применением стандартных граней;111752
1;10000;4;100;Алгоритм КМП с применением уточненных граней;110005
1;10000;4;100;Поиск с применением автомата КМП;73033
1;10000;4;200;Наивный алгоритм;77398
1;10000;4;200;Алгоритм КМП с применением стандартных граней;134117
1;10000;4;200;Алгоритм КМП с применением уточненных граней;124224
1;10000;4;200;Поиск с применением автомата КМП;75928
1;10000;4;300;Наивный алгоритм;75370
1;10000;4;300;Алгоритм КМП с применением стандартных граней;117877
1;10000;4;300;Алгоритм КМП с применением уточненных граней;119060
1;10000;4;300;Поиск с применением автомата КМП;80318
1;10000;4;400;Наивный алгоритм;68784
1;10000;4;400;Алгоритм КМП с применением стандартных граней;160432
1;10000;4;400;Алгоритм КМП с применением уточненных граней;110753
1;10000;4;400;Поиск с применением автомата КМП;81739
1;10000;4;500;Наивный алгоритм;75528
1;10000;4;500;Алгоритм КМП с применением стандартных граней;121184
1;10000;4;500;Алгоритм КМП с применением уточненных граней;123795
1;10000;4;500;Поиск с применением автомата КМП;92164
1;10000;4;600;Наивный алгоритм;84455
1;10000;4;600;Алгоритм КМП с применением стандартных граней;155365
1;10000;4;600;Алгоритм КМП с применением уточненных граней;128473
1;10000;4;600;Поиск с применением автомата КМП;91365
1;10000;4;700;Наивный алгоритм;66135
1;10000;4;700;Алгоритм КМП с применением стандартных граней;101581
1;10000;4;700;Алгоритм КМП с применением уточненных граней;103284
1;10000;4;700;Поиск с применением автомата КМП;93961
1;10000;4;800;Наивный алгоритм;155225
1;10000;4;800;Алгоритм КМП с применением стандартных граней;123009
1;10000;4;800;Алгоритм КМП с применением уточненных граней;107950
1;10000;4;800;Поиск с применением автомата КМП;96760
1;10000;4;900;Наивный алгоритм;68331
1;10000;4;900;Алгоритм КМП с применением стандартных граней;112088
1;10000;4;900;Алгоритм КМП с применением уточненных граней;112906
1;10000;4;900;Поиск с применением автомата КМП;118090
1;10000;4;1000;Наивный алгоритм;73343
1;10000;4;1000;Алгоритм КМП с применением стандартных граней;116678
1;10000;4;1000;Алгоритм КМП с применением уточненных граней;118744
1;10000;4;1000;Поиск с применением автомата КМП;102830
1;10000;4;1100;Наивный алгоритм;67077
1;10000;4;1100;Алгоритм КМП с применением стандартных граней;99214
1;10000;4;1100;Алгоритм КМП с применением уточненных граней;126754
1;10000;4;1100;Поиск с применением автомата КМП;186730
1;10000;4;1200;Наивный алгоритм;72821
1;10000;4;1200;Алгоритм КМП с применением стандартных граней;116037
1;10000;4;1200;Алгоритм КМП с применением уточненных граней;117906
1;10000;4;1200;Поиск с применением автомата КМП;111674
1;10000;4;1300;Наивный алгоритм;71928
1;10000;4;1300;Алгоритм КМП с применением стандартных граней;119115
1;10000;4;1300;Алгоритм КМП с применением уточненных граней;116113
1;10000;4;1300;Поиск с применением автомата КМП;130596
1;10000;4;1400;Наивный алгоритм;77432
1;10000;4;1400;Алгоритм КМП с применением стандартных граней;117107
1;10000;4;1400;Алгоритм КМП с применением уточненных граней;113452
1;10000;4;1400;Поиск с применением автомата КМП;121609
1;10000;4;1500;Наивный алгоритм;74303
1;10000;4;1500;Алгоритм КМП с применением стандартных граней;155375
1;10000;4;1500;Алгоритм КМП с применением уточненных граней;122879
1;10000;4;1500;Поиск с применением автомата КМП;129111
1;10000;4;1600;Наивный алгоритм;67375
1;10000;4;1600;Алгоритм КМП с применением стандартных граней;107380
1;10000;4;1600;Алгоритм КМП с применением уточненных граней;114885
1;10000;4;1600;Поиск с применением автомата КМП;156496
1;10000;4;1700;Наивный алгоритм;98071
1;10000;4;1700;Алгоритм КМП с применением стандартных граней;185433
1;10000;4;1700;Алгоритм КМП с применением уточненных граней;119723
1;10000;4;1700;Поиск с применением автомата КМП;136561
1;10000;4;1800;Наивный алгоритм;73273
1;10000;4;1800;Алгоритм КМП с применением стандартных граней;135241
1;10000;4;1800;Алгоритм КМП с применением уточненных граней;145393
1;10000;4;1800;Поиск с применением автомата КМП;136841
1;10000;4;1900;Наивный алгоритм;65182
1;10000;4;1900;Алгоритм КМП с применением стандартных граней;108126
1;10000;4;1900;Алгоритм КМП с применением уточненных граней;113942
1;10000;4;1900;Поиск с применением автомата КМП;146127
1;10000;4;2000;Наивный алгоритм;87960
1;10000;4;2000;Алгоритм КМП с применением стандартных граней;106336
1;10000;4;2000;Алгоритм КМП с применением уточненных граней;113301
1;10000;4;2000;Поиск с применением автомата КМП;142921
1;10000;4;2100;Наивный алгоритм;64952
1;10000;4;2100;Алгоритм КМП с применением стандартных граней;106567
1;10000;4;2100;Алгоритм КМП с применением уточненных граней;110788
1;10000;4;2100;Поиск с применением автомата КМП;175935
1;10000;4;2200;Наивный алгоритм;88769
1;10000;4;2200;Алгоритм КМП с применением стандартных граней;120257
1;10000;4;2200;Алгоритм КМП с применением уточненных граней;128378
1;10000;4;2200;Поиск с применением автомата КМП;151352
1;10000;4;2300;Наивный алгоритм;63155
1;10000;4;2300;Алгоритм КМП с применением стандартных граней;108365
1;10000;4;2300;Алгоритм КМП с применением уточненных граней;111940
1;10000;4;2300;Поиск с применением автомата КМП;160169
1;10000;4;2400;Наивный алгоритм;64428
1;10000;4;2400;Алгоритм КМП с применением стандартных граней;108351
1;10000;4;2400;Алгоритм КМП с применением уточненных граней;116839
1;10000;4;2400;Поиск с применением автомата КМП;159209
1;10000;4;2500;Наивный алгоритм;84333
1;10000;4;2500;Алгоритм КМП с применением стандартных граней;191151
1;10000;4;2500;Алгоритм КМП с применением уточненных граней;123782
1;10000;4;2500;Поиск с применением автомата КМП;165902
1;10000;4;2600;Наивный алгоритм;68173
1;10000;4;2600;Алгоритм КМП с применением стандартных граней;117226
1;10000;4;2600;Алгоритм КМП с применением уточненных граней;136946
1;10000;4;2600;Поиск с применением автомата КМП;211574
1;10000;4;2700;Наивный алгоритм;67353
1;10000;4;2700;Алгоритм КМП с применением стандартных граней;114910
1;10000;4;2700;Алгоритм КМП с применением уточненных граней;124338
1;10000;4;2700;Поиск с применением автомата КМП;173666
1;10000;4;2800;Наивный алгоритм;61340
1;10000;4;2800;Алгоритм КМП с применением стандартных граней;112503
1;10000;4;2800;Алгоритм КМП с применением уточненных граней;127861
1;10000;4;2800;Поиск с применением автомата КМП;184315
1;10000;4;2900;Наивный алгоритм;66106
1;10000;4;2900;Алгоритм КМП с применением стандартных граней;111784
1;10000;4;2900;Алгоритм КМП с применением уточненных граней;128709
1;10000;4;2900;Поиск с применением автомата КМП;230076
1;10000;4;3000;Наивный алгоритм;65562
1;10000;4;3000;Алгоритм КМП с применением стандартных граней;122848
1;10000;4;3000;Алгоритм КМП с применением уточненных граней;123119
1;10000;4;3000;Поиск с применением автомата КМП;185730
1;100000;2;100;Наивный алгоритм;1249426
1;100000;2;100;Алгоритм КМП с применением стандартных граней;1458649
1;100000;2;100;Алгоритм КМП с применением уточненных граней;1384588
1;100000;2;100;Поиск с применением автомата КМП;783220
1;100000;2;200;Наивный алгоритм;1280082
1;100000;2;200;Алгоритм КМП с применением стандартных граней;1436435
1;100000;2;200;Алгоритм КМП с применением уточненных граней;1434196
1;100000;2;200;Поиск с применением автомата КМП;722065
1;100000;2;300;Наивный алгоритм;1255971
1;100000;2;300;Алгоритм КМП с применением стандартных граней;1546169
1;100000;2;300;Алгоритм КМП с применением уточненных граней;1443295
1;100000;2;300;Поиск с применением автомата КМП;791993
1;100000;2;400;Наивный алгоритм;1211688
1;100000;2;400;Алгоритм КМП с применением стандартных граней;1429741
1;100000;2;400;Алгоритм КМП с применением уточненных граней;1561763
1;100000;2;400;Поиск с применением автомата КМП;818908
1;100000;2;500;Наивный алгоритм;1407773
1;100000;2;500;Алгоритм КМП с применением стандартных граней;1435053
1;100000;2;500;Алгоритм КМП с применением уточненных граней;1488125
1;100000;2;500;Поиск с применением автомата КМП;717750
1;100000;2;600;Наивный алгоритм;1279637
1;100000;2;600;Алгоритм КМП с применением стандартных граней;1334677
1;100000;2;600;Алгоритм КМП с применением уточненных граней;1208085
1;100000;2;600;Поиск с применением автомата КМП;931761
1;100000;2;700;Наивный алгоритм;1327752
1;100000;2;700;Алгоритм КМП с применением стандартных граней;1279959
1;100000;2;700;Алгоритм КМП с применением уточненных граней;1170486
1;100000;2;700;Поиск с применением автомата КМП;810943
1;100000;2;800;Наивный алгоритм;1251080
1;100000;2;800;Алгоритм КМП с применением стандартных граней;1543292
1;100000;2;800;Алгоритм КМП с применением уточненных граней;1447618
1;100000;2;800;Поиск с применением автомата КМП;798892
1;100000;2;900;Наивный алгоритм;1317921
1;100000;2;900;Алгоритм КМП с применением стандартных граней;1406568
1;100000;2;900;Алгоритм КМП с применением уточненных граней;1346026
1;100000;2;900;Поиск с применением автомата КМП;857831
1;100000;2;1000;Наивный алгоритм;1292273
1;100000;2;1000;Алгоритм КМП с применением стандартных граней;1535700
1;100000;2;1000;Алгоритм КМП с применением уточненных граней;1439973
1;100000;2;1000;Поиск с применением автомата КМП;803147
1;100000;2;1100;Наивный алгоритм;1201714
1;100000;2;1100;Алгоритм КМП с применением стандартных граней;1395903
1;100000;2;1100;Алгоритм КМП с применением уточненных граней;1286096
1;100000;2;1100;Поиск с применением автомата КМП;835240
1;100000;2;1200;Наивный алгоритм;1245812
1;100000;2;1200;Алгоритм КМП с применением стандартных граней;1426908
1;100000;2;1200;Алгоритм КМП с применением уточненных граней;1319682
1;100000;2;1200;Поиск с применением автомата КМП;822506
1;100000;2;1300;Наивный алгоритм;1267640
1;100000;2;1300;Алгоритм КМП с применением стандартных граней;1270953
1;100000;2;1300;Алгоритм КМП с применением уточненных граней;1362087
1;100000;2;1300;Поиск с применением автомата КМП;737813
1;100000;2;1400;Наивный алгоритм;1270400
1;100000;2;1400;Алгоритм КМП с применением стандартных граней;1308624
1;100000;2;1400;Алгоритм КМП с применением уточненных граней;1416263
1;100000;2;1400;Поиск с применением автомата КМП;778424
1;100000;2;1500;Наивный алгоритм;1297458
1;100000;2;1500;Алгоритм КМП с применением стандартных граней;1353083
1;100000;2;1500;Алгоритм КМП с применением уточненных граней;1345035
1;100000;2;1500;Поиск с применением автомата КМП;851673
1;100000;2;1600;Наивный алгоритм;1195306
1;100000;2;1600;Алгоритм КМП с применением стандартных граней;1415768
1;100000;2;1600;Алгоритм КМП с применением уточненных граней;1482826
1;100000;2;1600;Поиск с применением автомата КМП;761688
1;100000;2;1700;Наивный алгоритм;1303621
1;100000;2;1700;Алгоритм КМП с применением стандартных граней;1485081
1;100000;2;1700;Алгоритм КМП с применением уточненных граней;1491284
1;100000;2;1700;Поиск с применением автомата КМП;744385
1;100000;2;1800;Наивный алгоритм;1235620
1;100000;2;1800;Алгоритм КМП с применением стандартных граней;1412425
1;100000;2;1800;Алгоритм КМП с применением уточненных граней;1405918
1;100000;2;1800;Поиск с применением автомата КМП;762234
1;100000;2;1900;Наивный алгоритм;1155754
1;100000;2;1900;Алгоритм КМП с применением стандартных граней;1475713
1;100000;2;1900;Алгоритм КМП с применением уточненных граней;1405229
1;100000;2;1900;Поиск с применением автомата КМП;758051
1;100000;2;2000;Наивный алгоритм;1143837
1;100000;2;2000;Алгоритм КМП с применением стандартных граней;1546868
1;100000;2;2000;Алгоритм КМП с применением уточненных граней;1516432
1;100000;2;2000;Поиск с применением автомата КМП;850990
1;100000;2;2100;Наивный алгоритм;1228246
1;100000;2;2100;Алгоритм КМП с применением стандартных граней;1345057
1;100000;2;2100;Алгоритм КМП с применением уточненных граней;1339230
1;100000;2;2100;Поиск с применением автомата КМП;823527
1;100000;2;2200;Наивный алгоритм;1292752
1;100000;2;2200;Алгоритм КМП с применением стандартных граней;1250570
1;100000;2;2200;Алгоритм КМП с применением уточненных граней;1322497
1;100000;2;2200;Поиск с применением автомата КМП;866750
1;100000;2;2300;Наивный алгоритм;1286093
1;100000;2;2300;Алгоритм КМП с применением стандартных граней;1381901
1;100000;2;2300;Алгоритм КМП с применением уточненных граней;1570542
1;100000;2;2300;Поиск с применением автомата КМП;812875
1;100000;2;2400;Наивный алгоритм;1268726
1;100000;2;2400;Алгоритм КМП с применением стандартных граней;1483775
1;100000;2;2400;Алгоритм КМП с применением уточненных граней;1441559
1;100000;2;2400;Поиск с применением автомата КМП;827180
1;100000;2;2500;Наивный алгоритм;1335761
1;100000;2;2500;Алгоритм КМП с применением стандартных граней;1479211
1;100000;2;2500;Алгоритм КМП с применением уточненных граней;1266713
1;100000;2;2500;Поиск с применением автомата КМП;780277
1;100000;2;2600;Наивный алгоритм;1286215
1;100000;2;2600;Алгоритм КМП с применением стандартных граней;1519105
1;100000;2;2600;Алгоритм КМП с применением уточненных граней;1451317
1;100000;2;2600;Поиск с применением автомата КМП;799046
1;100000;2;2700;Наивный алгоритм;1218914
1;100000;2;2700;Алгоритм КМП с применением стандартных граней;1438139
1;100000;2;2700;Алгоритм КМП с применением уточненных граней;1371863
1;100000;2;2700;Поиск с применением автомата КМП;821057
1;100000;2;2800;Наивный алгоритм;1183005
1;100000;2;2800;Алгоритм КМП с применением стандартных граней;1445874
1;100000;2;2800;Алгоритм КМП с применением уточненных граней;1409397
1;100000;2;2800;Поиск с применением автомата КМП;819130
1;100000;2;2900;Наивный алгоритм;1192912
1;100000;2;2900;Алгоритм КМП с применением стандартных граней;1409392
1;100000;2;2900;Алгоритм КМП с применением уточненных граней;1410347
1;100000;2;2900;Поиск с применением автомата КМП;908208
1;100000;2;3000;Наивный алгоритм;1268497
1;100000;2;3000;Алгоритм КМП с применением стандартных граней;1483018
1;100000;2;3000;Алгоритм КМП с применением уточненных граней;1521069
1;100000;2;3000;Поиск с применением автомата КМП;867711
1;100000;4;100;Наивный алгоритм;902085
1;100000;4;100;Алгоритм КМП с применением стандартных граней;1200217
1;100000;4;100;Алгоритм КМП с применением уточненных граней;1324702
1;100000;4;100;Поиск с применением автомата КМП;707242
1;100000;4;200;Наивный алгоритм;875423
1;100000;4;200;Алгоритм КМП с применением стандартных граней;1431927
1;100000;4;200;Алгоритм КМП с применением уточненных граней;1453395
1;100000;4;200;Поиск с применением автомата КМП;732241
1;100000;4;300;Наивный алгоритм;917280
1;100000;4;300;Алгоритм КМП с применением стандартных граней;1421523
1;100000;4;300;Алгоритм КМП с применением уточненных граней;1437974
1;100000;4;300;Поиск с применением автомата КМП;703608
1;100000;4;400;Наивный алгоритм;932342
1;100000;4;400;Алгоритм КМП с применением стандартных граней;1418468
1;100000;4;400;Алгоритм КМП с применением уточненных граней;1532235
1;100000;4;400;Поиск с применением автомата КМП;748151
1;100000;4;500;Наивный алгоритм;943148
1;100000;4;500;Алгоритм КМП с применением стандартных граней;1408074
1;100000;4;500;Алгоритм КМП с применением уточненных граней;1378855
1;100000;4;500;Поиск с применением автомата КМП;709476
1;100000;4;600;Наивный алгоритм;838618
1;100000;4;600;Алгоритм КМП с применением стандартных граней;1381298
1;100000;4;600;Алгоритм КМП с применением уточненных граней;1291977
1;100000;4;600;Поиск с применением автомата КМП;802916
1;100000;4;700;Наивный алгоритм;849477
1;100000;4;700;Алгоритм КМП с применением стандартных граней;1405479
1;100000;4;700;Алгоритм КМП с применением уточненных граней;1380704
1;100000;4;700;Поиск с применением автомата КМП;756166
1;100000;4;800;Наивный алгоритм;829465
1;100000;4;800;Алгоритм КМП с применением стандартных граней;1343247
1;100000;4;800;Алгоритм КМП с применением уточненных граней;1345341
1;100000;4;800;Поиск с применением автомата КМП;777722
1;100000;4;900;Наивный алгоритм;860557
1;100000;4;900;Алгоритм КМП с применением стандартных граней;1337346
1;100000;4;900;Алгоритм КМП с применением уточненных граней;1272140
1;100000;4;900;Поиск с применением автомата КМП;785556
1;100000;4;1000;Наивный алгоритм;940180
1;100000;4;1000;Алгоритм КМП с применением стандартных граней;1321203
1;100000;4;1000;Алгоритм КМП с применением уточненных граней;1440454
1;100000;4;1000;Поиск с применением автомата КМП;797925
1;100000;4;1100;Наивный алгоритм;822166
1;100000;4;1100;Алгоритм КМП с применением стандартных граней;1305512
1;100000;4;1100;Алгоритм КМП с применением уточненных граней;1284557
1;100000;4;1100;Поиск с применением автомата КМП;756171
1;100000;4;1200;Наивный алгоритм;913637
1;100000;4;1200;Алгоритм КМП с применением стандартных граней;1328881
1;100000;4;1200;Алгоритм КМП с применением уточненных граней;1379706
1;100000;4;1200;Поиск с применением автомата КМП;750320
1;100000;4;1300;Наивный алгоритм;872970
1;100000;4;1300;Алгоритм КМП с применением стандартных граней;1276312
1;100000;4;1300;Алгоритм КМП с применением уточненных граней;1248004
1;100000;4;1300;Поиск с применением автомата КМП;812633
1;100000;4;1400;Наивный алгоритм;785437
1;100000;4;1400;Алгоритм КМП с применением стандартных граней;1323752
1;100000;4;1400;Алгоритм КМП с применением уточненных граней;1316842
1;100000;4;1400;Поиск с применением автомата КМП;747491
1;100000;4;1500;Наивный алгоритм;922551
1;100000;4;1500;Алгоритм КМП с применением стандартных граней;1403904
1;100000;4;1500;Алгоритм КМП с применением уточненных граней;1387021
1;100000;4;1500;Поиск с применением автомата КМП;759235
1;100000;4;1600;Наивный алгоритм;940191
1;100000;4;1600;Алгоритм КМП с применением стандартных граней;1310063
1;100000;4;1600;Алгоритм КМП с применением уточненных граней;1379725
1;100000;4;1600;Поиск с применением автомата КМП;755887
1;100000;4;1700;Наивный алгоритм;856617
1;100000;4;1700;Алгоритм КМП с применением стандартных граней;1192463
1;100000;4;1700;Алгоритм КМП с применением уточненных граней;1290074
1;100000;4;1700;Поиск с применением автомата КМП;886115
1;100000;4;1800;Наивный алгоритм;840356
1;100000;4;1800;Алгоритм КМП с применением стандартных граней;1372554
1;100000;4;1800;Алгоритм КМП с применением уточненных граней;1417058
1;100000;4;1800;Поиск с применением автомата КМП;817352
1;100000;4;1900;Наивный алгоритм;850635
1;100000;4;1900;Алгоритм КМП с применением стандартных граней;1392217
1;100000;4;1900;Алгоритм КМП с применением уточненных граней;1374367
1;100000;4;1900;Поиск с применением автомата КМП;764947
1;100000;4;2000;Наивный алгоритм;935051
1;100000;4;2000;Алгоритм КМП с применением стандартных граней;1442230
1;100000;4;2000;Алгоритм КМП с применением уточненных граней;1373057
1;100000;4;2000;Поиск с применением автомата КМП;777951
1;100000;4;2100;Наивный алгоритм;934231
1;100000;4;2100;Алгоритм КМП с применением стандартных граней;1292678
1;100000;4;2100;Алгоритм КМП с применением уточненных граней;1196862
1;100000;4;2100;Поиск с применением автомата КМП;796583
1;100000;4;2200;Наивный алгоритм;830637
1;100000;4;2200;Алгоритм КМП с применением стандартных граней;1423161
1;100000;4;2200;Алгоритм КМП с применением уточненных граней;1389607
1;100000;4;2200;Поиск с применением автомата КМП;876302
1;100000;4;2300;Наивный алгоритм;805161
1;100000;4;2300;Алгоритм КМП с применением стандартных граней;1404170
1;100000;4;2300;Алгоритм КМП с применением уточненных граней;1365641
1;100000;4;2300;Поиск с применением автомата КМП;803095
1;100000;4;2400;Наивный алгоритм;881146
1;100000;4;2400;Алгоритм КМП с применением стандартных граней;1547650
1;100000;4;2400;Алгоритм КМП с применением уточненных граней;1478455
1;100000;4;2400;Поиск с применением автомата КМП;842675
1;100000;4;2500;Наивный алгоритм;793652
1;100000;4;2500;Алгоритм КМП с применением стандартных граней;1262548
1;100000;4;2500;Алгоритм КМП с применением уточненных граней;1370194
1;100000;4;2500;Поиск с применением автомата КМП;797026
1;100000;4;2600;Наивный алгоритм;828414
1;100000;4;2600;Алгоритм КМП с применением стандартных граней;1278892
1;100000;4;2600;Алгоритм КМП с применением уточненных граней;1217031
1;100000;4;2600;Поиск с применением автомата КМП;921067
1;100000;4;2700;Наивный алгоритм;957166
1;100000;4;2700;Алгоритм КМП с применением стандартных граней;1375286
1;100000;4;2700;Алгоритм КМП с применением уточненных граней;1404102
1;100000;4;2700;Поиск с применением автомата КМП;892369
1;100000;4;2800;Наивный алгоритм;838688
1;100000;4;2800;Алгоритм КМП с применением стандартных граней;1423888
1;100000;4;2800;Алгоритм КМП с применением уточненных граней;1408531
1;100000;4;2800;Поиск с применением автомата КМП;806276
1;100000;4;2900;Наивный алгоритм;820436
1;100000;4;2900;Алгоритм КМП с применением стандартных граней;1397311
1;100000;4;2900;Алгоритм КМП с применением уточненных граней;1413589
1;100000;4;2900;Поиск с применением автомата КМП;809824
1;100000;4;3000;Наивный алгоритм;924269
1;100000;4;3000;Алгоритм КМП с применением стандартных граней;1321042
1;100000;4;3000;Алгоритм КМП с применением уточненных граней;1437993
1;100000;4;3000;Поиск с применением автомата КМП;890942
2;10000;2;100;Наивный алгоритм;180014
2;10000;2;100;Алгоритм КМП с применением стандартных граней;204209
2;10000;2;100;Алгоритм КМП с применением уточненных граней;207738
2;10000;2;100;Поиск с применением автомата КМП;107520
2;10000;2;200;Наивный алгоритм;165164
2;10000;2;200;Алгоритм КМП с применением стандартных граней;256088
2;10000;2;200;Алгоритм КМП с применением уточненных граней;166927
2;10000;2;200;Поиск с применением автомата КМП;105824
2;10000;2;300;Наивный алгоритм;174286
2;10000;2;300;Алгоритм КМП с применением стандартных граней;184401
2;10000;2;300;Алгоритм КМП с применением уточненных граней;193015
2;10000;2;300;Поиск с применением автомата КМП;110164
2;10000;2;400;Наивный алгоритм;167612
2;10000;2;400;Алгоритм КМП с применением стандартных граней;179705
2;10000;2;400;Алгоритм КМП с применением уточненных граней;204700
2;10000;2;400;Поиск с применением автомата КМП;171859
2;10000;2;500;Наивный алгоритм;167923
2;10000;2;500;Алгоритм КМП с применением стандартных граней;177697
2;10000;2;500;Алгоритм КМП с применением уточненных граней;172844
2;10000;2;500;Поиск с применением автомата КМП;123718
2;10000;2;600;Наивный алгоритм;164769
2;10000;2;600;Алгоритм КМП с применением стандартных граней;196500
2;10000;2;600;Алгоритм КМП с применением уточненных граней;193823
2;10000;2;600;Поиск с применением автомата КМП;120265
2;10000;2;700;Наивный алгоритм;259189
2;10000;2;700;Алгоритм КМП с применением стандартных граней;183021
2;10000;2;700;Алгоритм КМП с применением уточненных граней;184819
2;10000;2;700;Поиск с применением автомата КМП;122966
2;10000;2;800;Наивный алгоритм;174679
2;10000;2;800;Алгоритм КМП с применением стандартных граней;206906
2;10000;2;800;Алгоритм КМП с применением уточненных граней;186421
2;10000;2;800;Поиск с применением автомата КМП;126572
2;10000;2;900;Наивный алгоритм;201426
2;10000;2;900;Алгоритм КМП с применением стандартных граней;258647
2;10000;2;900;Алгоритм КМП с применением уточненных граней;189940
2;10000;2;900;Поиск с применением автомата КМП;129925
2;10000;2;1000;Наивный алгоритм;164965
2;10000;2;1000;Алгоритм КМП с применением стандартных граней;195296
2;10000;2;1000;Алгоритм КМП с применением уточненных граней;189915
2;10000;2;1000;Поиск с применением автомата КМП;133034
2;10000;2;1100;Наивный алгоритм;164061
2;10000;2;1100;Алгоритм КМП с применением стандартных граней;285469
2;10000;2;1100;Алгоритм КМП с применением уточненных граней;196191
2;10000;2;1100;Поиск с применением автомата КМП;135410
2;10000;2;1200;Наивный алгоритм;165778
2;10000;2;1200;Алгоритм КМП с применением стандартных граней;200673
2;10000;2;1200;Алгоритм КМП с применением уточненных граней;192527
2;10000;2;1200;Поиск с применением автомата КМП;140326
2;10000;2;1300;Наивный алгоритм;160697
2;10000;2;1300;Алгоритм КМП с применением стандартных граней;189178
2;10000;2;1300;Алгоритм КМП с применением уточненных граней;192583
2;10000;2;1300;Поиск с применением автомата КМП;142241
2;10000;2;1400;Наивный алгоритм;207382
2;10000;2;1400;Алгоритм КМП с применением стандартных граней;198143
2;10000;2;1400;Алгоритм КМП с применением уточненных граней;192145
2;10000;2;1400;Поиск с применением автомата КМП;147494
2;10000;2;1500;Наивный алгоритм;169412
2;10000;2;1500;Алгоритм КМП с применением стандартных граней;192740
2;10000;2;1500;Алгоритм КМП с применением уточненных граней;196307
2;10000;2;1500;Поиск с применением автомата КМП;151242
2;10000;2;1600;Наивный алгоритм;233832
2;10000;2;1600;Алгоритм КМП с применением стандартных граней;202104
2;10000;2;1600;Алгоритм КМП с применением уточненных граней;190188
2;10000;2;1600;Поиск с применением автомата КМП;153610
2;10000;2;1700;Наивный алгоритм;165458
2;10000;2;1700;Алгоритм КМП с применением стандартных граней;192711
2;10000;2;1700;Алгоритм КМП с применением уточненных граней;196231
2;10000;2;1700;Поиск с применением автомата КМП;157950
2;10000;2;1800;Наивный алгоритм;210111
2;10000;2;1800;Алгоритм КМП с применением стандартных граней;268992
2;10000;2;1800;Алгоритм КМП с применением уточненных граней;203221
2;10000;2;1800;Поиск с применением автомата КМП;175382
2;10000;2;1900;Наивный алгоритм;167907
2;10000;2;1900;Алгоритм КМП с применением стандартных граней;205983
2;10000;2;1900;Алгоритм КМП с применением уточненных граней;216509
2;10000;2;1900;Поиск с применением автомата КМП;179929
2;10000;2;2000;Наивный алгоритм;284324
2;10000;2;2000;Алгоритм КМП с применением стандартных граней;204358
2;10000;2;2000;Алгоритм КМП с применением уточненных граней;215216
2;10000;2;2000;Поиск с применением автомата КМП;183293
2;10000;2;2100;Наивный алгоритм;161502
2;10000;2;2100;Алгоритм КМП с применением стандартных граней;188609
2;10000;2;2100;Алгоритм КМП с применением уточненных граней;197699
