Number of substitution;Size of text;Size of alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;2;2500;Алгоритм КМП с применением уточненных граней;80533
0;10000;2;2500;Поиск с применением автомата КМП;177309
0;10000;2;2600;Наивный алгоритм;82914
0;10000;2;2600;Алгоритм КМП с применением стандартных граней;88630
0;10000;2;2600;Алгоритм КМП с применением уточненных граней;66069
0;10000;2;2600;Поиск с применением автомата КМП;204734
0;10000;2;2700;Наивный алгоритм;40505
0;10000;2;2700;Алгоритм КМП с применением стандартных граней;47527
0;10000;2;2700;Алгоритм КМП с применением уточненных граней;69127
0;10000;2;2700;Поиск с применением автомата КМП;150917
0;10000;2;2800;Наивный алгоритм;48933
0;10000;2;2800;Алгоритм КМП с применением стандартных граней;76582
0;10000;2;2800;Алгоритм КМП с применением уточненных граней;58586
0;10000;2;2800;Поиск с применением автомата КМП;143928
0;10000;2;2900;Наивный алгоритм;74202
0;10000;2;2900;Алгоритм КМП с применением стандартных граней;89610
0;10000;2;2900;Алгоритм КМП с применением уточненных граней;68973
0;10000;2;2900;Поиск с применением автомата КМП;162202
0;10000;2;3000;Наивный алгоритм;42756
0;10000;2;3000;Алгоритм КМП с применением стандартных граней;47252
0;10000;2;3000;Алгоритм КМП с применением уточненных граней;108863
0;10000;2;3000;Поиск с применением автомата КМП;180962
0;10000;4;100;Наивный алгоритм;46376
0;10000;4;100;Алгоритм КМП с применением стандартных граней;58119
0;10000;4;100;Алгоритм КМП с применением уточненных граней;59061
0;10000;4;100;Поиск с применением автомата КМП;41906
0;10000;4;200;Наивный алгоритм;38428
0;10000;4;200;Алгоритм КМП с применением стандартных граней;58466
0;10000;4;200;Алгоритм КМП с применением уточненных граней;60796
0;10000;4;200;Поиск с применением автомата КМП;53871
0;10000;4;300;Наивный алгоритм;32989
0;10000;4;300;Алгоритм КМП с применением стандартных граней;49634
0;10000;4;300;Алгоритм КМП с применением уточненных граней;67631
0;10000;4;300;Поиск с применением автомата КМП;79712
0;10000;4;400;Наивный алгоритм;35432
0;10000;4;400;Алгоритм КМП с применением стандартных граней;59228
0;10000;4;400;Алгоритм КМП с применением уточненных граней;55288
0;10000;4;400;Поиск с применением автомата КМП;51380
0;10000;4;500;Наивный алгоритм;35314
0;10000;4;500;Алгоритм КМП с применением стандартных граней;57603
0;10000;4;500;Алгоритм КМП с применением уточненных граней;58059
0;10000;4;500;Поиск с применением автомата КМП;54426
0;10000;4;600;Наивный алгоритм;33165
0;10000;4;600;Алгоритм КМП с применением стандартных граней;50312
0;10000;4;600;Алгоритм КМП с применением уточненных граней;50154
0;10000;4;600;Поиск с применением автомата КМП;57756
0;10000;4;700;Наивный алгоритм;32107
0;10000;4;700;Алгоритм КМП с применением стандартных граней;50033
0;10000;4;700;Алгоритм КМП с применением уточненных граней;131104
0;10000;4;700;Поиск с применением автомата КМП;80905
0;10000;4;800;Наивный алгоритм;29575
0;10000;4;800;Алгоритм КМП с применением стандартных граней;47375
0;10000;4;800;Алгоритм КМП с применением уточненных граней;50948
0;10000;4;800;Поиск с применением автомата КМП;66066
0;10000;4;900;Наивный алгоритм;31139
0;10000;4;900;Алгоритм КМП с применением стандартных граней;49082
0;10000;4;900;Алгоритм КМП с применением уточненных граней;50270
0;10000;4;900;Поиск с применением автомата КМП;69240
0;10000;4;1000;Наивный алгоритм;31159
0;10000;4;1000;Алгоритм КМП с применением стандартных граней;48690
0;10000;4;1000;Алгоритм КМП с применением уточненных граней;53021
0;10000;4;1000;Поиск с применением автомата КМП;89103
0;10000;4;1100;Наивный алгоритм;39928
0;10000;4;1100;Алгоритм КМП с применением стандартных граней;50319
0;10000;4;1100;Алгоритм КМП с применением уточненных граней;50794
0;10000;4;1100;Поиск с применением автомата КМП;76270
0;10000;4;1200;Наивный алгоритм;34073
0;10000;4;1200;Алгоритм КМП с применением стандартных граней;57077
0;10000;4;1200;Алгоритм КМП с применением уточненных граней;63356
0;10000;4;1200;Поиск с применением автомата КМП;78625
0;10000;4;1300;Наивный алгоритм;34183
0;10000;4;1300;Алгоритм КМП с применением стандартных граней;54400
0;10000;4;1300;Алгоритм КМП с применением уточненных граней;59337
0;10000;4;1300;Поиск с применением автомата КМП;82851
0;10000;4;1400;Наивный алгоритм;32496
0;10000;4;1400;Алгоритм КМП с применением стандартных граней;62359
0;10000;4;1400;Алгоритм КМП с применением уточненных граней;75949
0;10000;4;1400;Поиск с применением автомата КМП;106245
0;10000;4;1500;Наивный алгоритм;43809
0;10000;4;1500;Алгоритм КМП с применением стандартных граней;75778
0;10000;4;1500;Алгоритм КМП с применением уточненных граней;73523
0;10000;4;1500;Поиск с применением автомата КМП;139070
0;10000;4;1600;Наивный алгоритм;63023
0;10000;4;1600;Алгоритм КМП с применением стандартных граней;56892
0;10000;4;1600;Алгоритм КМП с применением уточненных граней;62829
0;10000;4;1600;Поиск с применением автомата КМП;110474
0;10000;4;1700;Наивный алгоритм;48843
0;10000;4;1700;Алгоритм КМП с применением стандартных граней;62107
0;10000;4;1700;Алгоритм КМП с применением уточненных граней;60219
0;10000;4;1700;Поиск с применением автомата КМП;97886
0;10000;4;1800;Наивный алгоритм;27863
0;10000;4;1800;Алгоритм КМП с применением стандартных граней;48470
0;10000;4;1800;Алгоритм КМП с применением уточненных граней;49079
0;10000;4;1800;Поиск с применением автомата КМП;103139
0;10000;4;1900;Наивный алгоритм;30106
0;10000;4;1900;Алгоритм КМП с применением стандартных граней;50666
0;10000;4;1900;Алгоритм КМП с применением уточненных граней;58584
0;10000;4;1900;Поиск с применением автомата КМП;130668
0;10000;4;2000;Наивный алгоритм;47343
0;10000;4;2000;Алгоритм КМП с применением стандартных граней;59241
0;10000;4;2000;Алгоритм КМП с применением уточненных граней;59991
0;10000;4;2000;Поиск с применением автомата КМП;111545
0;10000;4;2100;Наивный алгоритм;31743
