type; algorithm; size; operations
рандом от 0 до 5;3800;180566;
рандом от 0 до 5;3800;215403;
рандом от 0 до 5;3900;18861626;
рандом от 0 до 5;3900;38015250;
рандом от 0 до 5;3900;45411508;
рандом от 0 до 5;3900;68756162;
рандом от 0 до 5;3900;74127;
рандом от 0 до 5;3900;707083;
рандом от 0 до 5;3900;15806434;
рандом от 0 до 5;3900;593242;
рандом от 0 до 5;3900;2612011;
рандом от 0 до 5;3900;51732;
рандом от 0 до 5;3900;22825765;
рандом от 0 до 5;3900;186070;
рандом от 0 до 5;3900;219355;
рандом от 0 до 5;4000;19802082;
рандом от 0 до 5;4000;39990000;
рандом от 0 до 5;4000;47828317;
рандом от 0 до 5;4000;72265719;
рандом от 0 до 5;4000;76027;
рандом от 0 до 5;4000;729480;
рандом от 0 до 5;4000;16533789;
рандом от 0 до 5;4000;609496;
рандом от 0 до 5;4000;2737417;
рандом от 0 до 5;4000;53032;
рандом от 0 до 5;4000;24011037;
рандом от 0 до 5;4000;191390;
рандом от 0 до 5;4000;231800;
рандом от 0 до 5;4100;20930738;
рандом от 0 до 5;4100;42014750;
рандом от 0 до 5;4100;50162095;
рандом от 0 до 5;4100;75940488;
рандом от 0 до 5;4100;77927;
рандом от 0 до 5;4100;750569;
рандом от 0 до 5;4100;17460304;
рандом от 0 до 5;4100;625765;
рандом от 0 до 5;4100;2874945;
рандом от 0 до 5;4100;54332;
рандом от 0 до 5;4100;25226285;
рандом от 0 до 5;4100;196970;
рандом от 0 до 5;4100;258750;
рандом от 0 до 4000;100;12851;
рандом от 0 до 4000;100;24750;
рандом от 0 до 4000;100;29373;
рандом от 0 до 4000;100;43928;
рандом от 0 до 4000;100;1927;
рандом от 0 до 4000;100;10643;
рандом от 0 до 4000;100;9624;
рандом от 0 до 4000;100;9424;
рандом от 0 до 4000;100;3539;
рандом от 0 до 4000;100;2332;
рандом от 0 до 4000;100;15254;
рандом от 0 до 4000;100;2660;
рандом от 0 до 4000;100;2947;
рандом от 0 до 4000;200;52514;
рандом от 0 до 4000;200;99500;
рандом от 0 до 4000;200;119213;
рандом от 0 до 4000;200;173159;
рандом от 0 до 4000;200;3827;
рандом от 0 до 4000;200;24302;
рандом от 0 до 4000;200;42189;
рандом от 0 до 4000;200;21068;
рандом от 0 до 4000;200;10427;
рандом от 0 до 4000;200;3632;
рандом от 0 до 4000;200;60544;
рандом от 0 до 4000;200;5952;
рандом от 0 до 4000;200;6936;
рандом от 0 до 4000;300;119931;
рандом от 0 до 4000;300;224250;
рандом от 0 до 4000;300;259685;
рандом от 0 до 4000;300;408844;
рандом от 0 до 4000;300;5727;
рандом от 0 до 4000;300;38442;
рандом от 0 до 4000;300;100624;
рандом от 0 до 4000;300;33476;
рандом от 0 до 4000;300;20521;
рандом от 0 до 4000;300;4932;
рандом от 0 до 4000;300;135820;
рандом от 0 до 4000;300;9744;
рандом от 0 до 4000;300;12056;
рандом от 0 до 4000;400;205310;
рандом от 0 до 4000;400;399000;
рандом от 0 до 4000;400;470472;
рандом от 0 до 4000;400;724932;
рандом от 0 до 4000;400;7627;
рандом от 0 до 4000;400;53747;
рандом от 0 до 4000;400;173784;
рандом от 0 до 4000;400;46539;
рандом от 0 до 4000;400;34557;
рандом от 0 до 4000;400;6232;
рандом от 0 до 4000;400;241108;
рандом от 0 до 4000;400;14031;
рандом от 0 до 4000;400;16655;
рандом от 0 до 4000;500;316891;
рандом от 0 до 4000;500;623750;
рандом от 0 до 4000;500;738627;
рандом от 0 до 4000;500;1121398;
рандом от 0 до 4000;500;9527;
рандом от 0 до 4000;500;68601;
рандом от 0 до 4000;500;269554;
рандом от 0 до 4000;500;59525;
рандом от 0 до 4000;500;49807;
рандом от 0 до 4000;500;7532;
рандом от 0 до 4000;500;376373;
рандом от 0 до 4000;500;18527;
рандом от 0 до 4000;500;20380;
рандом от 0 до 4000;600;444913;
рандом от 0 до 4000;600;898500;
рандом от 0 до 4000;600;1071410;
рандом от 0 до 4000;600;1615791;
рандом от 0 до 4000;600;11427;
рандом от 0 до 4000;600;85780;
рандом от 0 до 4000;600;379089;
рандом от 0 до 4000;600;73607;
рандом от 0 до 4000;600;71489;
рандом от 0 до 4000;600;8832;
рандом от 0 до 4000;600;541640;
рандом от 0 до 4000;600;22607;
рандом от 0 до 4000;600;27638;
рандом от 0 до 4000;700;588392;
рандом от 0 до 4000;700;1223250;
рандом от 0 до 4000;700;1473992;
рандом от 0 до 4000;700;2200320;
рандом от 0 до 4000;700;13327;
рандом от 0 до 4000;700;103172;
рандом от 0 до 4000;700;497604;
рандом от 0 до 4000;700;87863;
рандом от 0 до 4000;700;95253;
рандом от 0 до 4000;700;10132;
рандом от 0 до 4000;700;736890;
рандом от 0 до 4000;700;26891;
рандом от 0 до 4000;700;31522;
рандом от 0 до 4000;800;782366;
рандом от 0 до 4000;800;1598000;
рандом от 0 до 4000;800;1913123;
рандом от 0 до 4000;800;2872478;
рандом от 0 до 4000;800;15227;
рандом от 0 до 4000;800;118884;
рандом от 0 до 4000;800;661114;
рандом от 0 до 4000;800;101967;
рандом от 0 до 4000;800;126163;
рандом от 0 до 4000;800;11432;
рандом от 0 до 4000;800;962182;
рандом от 0 до 4000;800;31402;
рандом от 0 до 4000;800;38330;
рандом от 0 до 4000;900;1000678;
рандом от 0 до 4000;900;2022750;
рандом от 0 до 4000;900;2409157;
рандом от 0 до 4000;900;3643016;
рандом от 0 до 4000;900;17127;
рандом от 0 до 4000;900;135238;
рандом от 0 до 4000;900;842864;
рандом от 0 до 4000;900;116043;
рандом от 0 до 4000;900;152595;
рандом от 0 до 4000;900;12732;
рандом от 0 до 4000;900;1217505;
рандом от 0 до 4000;900;36530;
рандом от 0 до 4000;900;42062;
рандом от 0 до 4000;1000;1259130;
рандом от 0 до 4000;1000;2497500;
рандом от 0 до 4000;1000;2967598;
рандом от 0 до 4000;1000;4501687;
рандом от 0 до 4000;1000;19027;
рандом от 0 до 4000;1000;150540;
рандом от 0 до 4000;1000;1058909;
рандом от 0 до 4000;1000;130220;
рандом от 0 до 4000;1000;184283;
рандом от 0 до 4000;1000;14032;
рандом от 0 до 4000;1000;1502756;
рандом от 0 до 4000;1000;41270;
рандом от 0 до 4000;1000;46369;
рандом от 0 до 4000;1100;1536511;
рандом от 0 до 4000;1100;3022250;
рандом от 0 до 4000;1100;3571530;
рандом от 0 до 4000;1100;5476961;
рандом от 0 до 4000;1100;20927;
рандом от 0 до 4000;1100;169004;
рандом от 0 до 4000;1100;1306099;
рандом от 0 до 4000;1100;145209;
рандом от 0 до 4000;1100;226289;
рандом от 0 до 4000;1100;15332;
рандом от 0 до 4000;1100;1818082;
рандом от 0 до 4000;1100;45810;
рандом от 0 до 4000;1100;57323;
рандом от 0 до 4000;1200;1812439;
рандом от 0 до 4000;1200;3597000;
рандом от 0 до 4000;1200;4260540;
рандом от 0 до 4000;1200;6478927;
рандом от 0 до 4000;1200;22827;
рандом от 0 до 4000;1200;186978;
рандом от 0 до 4000;1200;1541289;
рандом от 0 до 4000;1200;160481;
рандом от 0 до 4000;1200;262481;
рандом от 0 до 4000;1200;16632;
рандом от 0 до 4000;1200;2163324;
рандом от 0 до 4000;1200;50414;
рандом от 0 до 4000;1200;62312;
рандом от 0 до 4000;1300;2083376;
рандом от 0 до 4000;1300;4221750;
рандом от 0 до 4000;1300;5033598;
рандом от 0 до 4000;1300;7618193;
рандом от 0 до 4000;1300;24727;
рандом от 0 до 4000;1300;206304;
рандом от 0 до 4000;1300;1766579;
рандом от 0 до 4000;1300;175824;
рандом от 0 до 4000;1300;306865;
рандом от 0 до 4000;1300;17932;
рандом от 0 до 4000;1300;2538578;
рандом от 0 до 4000;1300;55154;
рандом от 0 до 4000;1300;67130;
рандом от 0 до 4000;1400;2411172;
рандом от 0 до 4000;1400;4896500;
рандом от 0 до 4000;1400;5831437;
рандом от 0 до 4000;1400;8851191;
рандом от 0 до 4000;1400;26627;
рандом от 0 до 4000;1400;223615;
рандом от 0 до 4000;1400;2055629;
рандом от 0 до 4000;1400;191079;
рандом от 0 до 4000;1400;355131;
рандом от 0 до 4000;1400;19232;
рандом от 0 до 4000;1400;2943864;
рандом от 0 до 4000;1400;59866;
рандом от 0 до 4000;1400;71367;
рандом от 0 до 4000;1500;2753685;
рандом от 0 до 4000;1500;5621250;
рандом от 0 до 4000;1500;6695153;
рандом от 0 до 4000;1500;10154354;
рандом от 0 до 4000;1500;28527;
рандом от 0 до 4000;1500;242384;
рандом от 0 до 4000;1500;2353154;
рандом от 0 до 4000;1500;206302;
рандом от 0 до 4000;1500;403879;
рандом от 0 до 4000;1500;20532;
рандом от 0 до 4000;1500;3379124;
рандом от 0 до 4000;1500;64506;
рандом от 0 до 4000;1500;75896;
рандом от 0 до 4000;1600;3144058;
рандом от 0 до 4000;1600;6396000;
рандом от 0 до 4000;1600;7605623;
рандом от 0 до 4000;1600;11572051;
рандом от 0 до 4000;1600;30427;
рандом от 0 до 4000;1600;260412;
рандом от 0 до 4000;1600;2694309;
рандом от 0 до 4000;1600;221570;
рандом от 0 до 4000;1600;459111;
рандом от 0 до 4000;1600;21832;
рандом от 0 до 4000;1600;3844436;
рандом от 0 до 4000;1600;69342;
рандом от 0 до 4000;1600;86967;
рандом от 0 до 4000;1700;3543382;
рандом от 0 до 4000;1700;7220750;
рандом от 0 до 4000;1700;8587397;
рандом от 0 до 4000;1700;13020193;
рандом от 0 до 4000;1700;32327;
рандом от 0 до 4000;1700;279095;
рандом от 0 до 4000;1700;3038559;
рандом от 0 до 4000;1700;236951;
рандом от 0 до 4000;1700;514151;
рандом от 0 до 4000;1700;23132;
рандом от 0 до 4000;1700;4339663;
рандом от 0 до 4000;1700;74174;
рандом от 0 до 4000;1700;86905;
рандом от 0 до 4000;1800;3933453;
рандом от 0 до 4000;1800;8095500;
рандом от 0 до 4000;1800;9664458;
рандом от 0 до 4000;1800;14620524;
рандом от 0 до 4000;1800;34227;
рандом от 0 до 4000;1800;296538;
рандом от 0 до 4000;1800;3374744;
рандом от 0 до 4000;1800;252134;
рандом от 0 до 4000;1800;572939;
рандом от 0 до 4000;1800;24432;
рандом от 0 до 4000;1800;4864912;
рандом от 0 до 4000;1800;78786;
рандом от 0 до 4000;1800;94610;
рандом от 0 до 4000;1900;4381985;
рандом от 0 до 4000;1900;9020250;
рандом от 0 до 4000;1900;10753037;
рандом от 0 до 4000;1900;16308065;
рандом от 0 до 4000;1900;36127;
рандом от 0 до 4000;1900;313730;
рандом от 0 до 4000;1900;3770099;
рандом от 0 до 4000;1900;267437;
рандом от 0 до 4000;1900;633963;
рандом от 0 до 4000;1900;25732;
рандом от 0 до 4000;1900;5420224;
рандом от 0 до 4000;1900;83746;
рандом от 0 до 4000;1900;96851;
рандом от 0 до 4000;2000;4815461;
рандом от 0 до 4000;2000;9995000;
рандом от 0 до 4000;2000;11946140;
рандом от 0 до 4000;2000;18056024;
рандом от 0 до 4000;2000;38027;
рандом от 0 до 4000;2000;334627;
рандом от 0 до 4000;2000;4143744;
рандом от 0 до 4000;2000;282569;
рандом от 0 до 4000;2000;701833;
рандом от 0 до 4000;2000;27032;
рандом от 0 до 4000;2000;6005502;
рандом от 0 до 4000;2000;88254;
рандом от 0 до 4000;2000;103617;
рандом от 0 до 4000;2100;5337741;
рандом от 0 до 4000;2100;11019750;
рандом от 0 до 4000;2100;13137152;
рандом от 0 до 4000;2100;19949661;
рандом от 0 до 4000;2100;39927;
рандом от 0 до 4000;2100;353379;
рандом от 0 до 4000;2100;4601279;
рандом от 0 до 4000;2100;298391;
рандом от 0 до 4000;2100;774573;
рандом от 0 до 4000;2100;28332;
рандом от 0 до 4000;2100;6620794;
рандом от 0 до 4000;2100;93326;
рандом от 0 до 4000;2100;117917;
рандом от 0 до 4000;2200;5889594;
рандом от 0 до 4000;2200;12094500;
рандом от 0 до 4000;2200;14383228;
рандом от 0 до 4000;2200;21917397;
рандом от 0 до 4000;2200;41827;
рандом от 0 до 4000;2200;372379;
рандом от 0 до 4000;2200;5092179;
рандом от 0 до 4000;2200;314925;
рандом от 0 до 4000;2200;849535;
рандом от 0 до 4000;2200;29632;
рандом от 0 до 4000;2200;7266038;
рандом от 0 до 4000;2200;98674;
рандом от 0 до 4000;2200;125251;
рандом от 0 до 4000;2300;6406489;
рандом от 0 до 4000;2300;13219250;
рандом от 0 до 4000;2300;15755143;
рандом от 0 до 4000;2300;23879568;
рандом от 0 до 4000;2300;43727;
рандом от 0 до 4000;2300;392867;
рандом от 0 до 4000;2300;5536824;
рандом от 0 до 4000;2300;331422;
рандом от 0 до 4000;2300;927581;
рандом от 0 до 4000;2300;30932;
рандом от 0 до 4000;2300;7941375;
рандом от 0 до 4000;2300;103566;
рандом от 0 до 4000;2300;129039;
рандом от 0 до 4000;2400;6931213;
рандом от 0 до 4000;2400;14394000;
рандом от 0 до 4000;2400;17190617;
рандом от 0 до 4000;2400;25978484;
рандом от 0 до 4000;2400;45627;
рандом от 0 до 4000;2400;414374;
рандом от 0 до 4000;2400;5981484;
рандом от 0 до 4000;2400;347761;
рандом от 0 до 4000;2400;1005629;
рандом от 0 до 4000;2400;32232;
рандом от 0 до 4000;2400;8646601;
рандом от 0 до 4000;2400;108094;
рандом от 0 до 4000;2400;138947;
рандом от 0 до 4000;2500;7548173;
рандом от 0 до 4000;2500;15618750;
рандом от 0 до 4000;2500;18620447;
рандом от 0 до 4000;2500;28237602;
рандом от 0 до 4000;2500;47527;
рандом от 0 до 4000;2500;432722;
рандом от 0 до 4000;2500;6529234;
рандом от 0 до 4000;2500;364128;
рандом от 0 до 4000;2500;1087931;
рандом от 0 до 4000;2500;33532;
рандом от 0 до 4000;2500;9381900;
рандом от 0 до 4000;2500;113150;
рандом от 0 до 4000;2500;144081;
рандом от 0 до 4000;2600;8191636;
рандом от 0 до 4000;2600;16893500;
рандом от 0 до 4000;2600;20096213;
рандом от 0 до 4000;2600;30610168;
рандом от 0 до 4000;2600;49427;
рандом от 0 до 4000;2600;453063;
рандом от 0 до 4000;2600;7103464;
рандом от 0 до 4000;2600;380413;
рандом от 0 до 4000;2600;1173071;
рандом от 0 до 4000;2600;34832;
рандом от 0 до 4000;2600;10147200;
рандом от 0 до 4000;2600;118290;
рандом от 0 до 4000;2600;147504;
рандом от 0 до 4000;2700;8787788;
рандом от 0 до 4000;2700;18218250;
рандом от 0 до 4000;2700;21732562;
рандом от 0 до 4000;2700;32993105;
рандом от 0 до 4000;2700;51327;
рандом от 0 до 4000;2700;471830;
рандом от 0 до 4000;2700;7608859;
рандом от 0 до 4000;2700;396961;
рандом от 0 до 4000;2700;1264265;
рандом от 0 до 4000;2700;36132;
рандом от 0 до 4000;2700;10942459;
рандом от 0 до 4000;2700;122882;
рандом от 0 до 4000;2700;153070;
рандом от 0 до 4000;2800;9477412;
рандом от 0 до 4000;2800;19593000;
рандом от 0 до 4000;2800;23324002;
рандом от 0 до 4000;2800;35469904;
рандом от 0 до 4000;2800;53227;
рандом от 0 до 4000;2800;492262;
рандом от 0 до 4000;2800;8217884;
рандом от 0 до 4000;2800;413169;
рандом от 0 до 4000;2800;1359749;
рандом от 0 до 4000;2800;37432;
рандом от 0 до 4000;2800;11767766;
рандом от 0 до 4000;2800;128302;
рандом от 0 до 4000;2800;159263;
рандом от 0 до 4000;2900;10126346;
рандом от 0 до 4000;2900;21017750;
рандом от 0 до 4000;2900;25074598;
рандом от 0 до 4000;2900;37913871;
рандом от 0 до 4000;2900;55127;
рандом от 0 до 4000;2900;509673;
рандом от 0 до 4000;2900;8778449;
рандом от 0 до 4000;2900;429627;
рандом от 0 до 4000;2900;1458941;
рандом от 0 до 4000;2900;38732;
рандом от 0 до 4000;2900;12622984;
рандом от 0 до 4000;2900;133566;
рандом от 0 до 4000;2900;162382;
рандом от 0 до 4000;3000;10832870;
рандом от 0 до 4000;3000;22492500;
рандом от 0 до 4000;3000;26890847;
рандом от 0 до 4000;3000;40593736;
рандом от 0 до 4000;3000;57027;
рандом от 0 до 4000;3000;530913;
рандом от 0 до 4000;3000;9339024;
рандом от 0 до 4000;3000;445819;
рандом от 0 до 4000;3000;1555103;
рандом от 0 до 4000;3000;40032;
рандом от 0 до 4000;3000;13508268;
рандом от 0 до 4000;3000;138446;
рандом от 0 до 4000;3000;168893;
рандом от 0 до 4000;3100;11544198;
рандом от 0 до 4000;3100;24017250;
рандом от 0 до 4000;3100;28769617;
рандом от 0 до 4000;3100;43412826;
рандом от 0 до 4000;3100;58927;
рандом от 0 до 4000;3100;551648;
рандом от 0 до 4000;3100;9895834;
рандом от 0 до 4000;3100;462162;
рандом от 0 до 4000;3100;1659257;
рандом от 0 до 4000;3100;41332;
рандом от 0 до 4000;3100;14423567;
рандом от 0 до 4000;3100;143750;
рандом от 0 до 4000;3100;174000;
рандом от 0 до 4000;3200;12380492;
рандом от 0 до 4000;3200;25592000;
рандом от 0 до 4000;3200;30629572;
рандом от 0 до 4000;3200;46160205;
рандом от 0 до 4000;3200;60827;
рандом от 0 до 4000;3200;573129;
рандом от 0 до 4000;3200;10575639;
рандом от 0 до 4000;3200;478577;
рандом от 0 до 4000;3200;1768147;
рандом от 0 до 4000;3200;42632;
рандом от 0 до 4000;3200;15368826;
рандом от 0 до 4000;3200;149042;
рандом от 0 до 4000;3200;193681;
рандом от 0 до 4000;3300;13245513;
рандом от 0 до 4000;3300;27216750;
рандом от 0 до 4000;3300;32558437;
рандом от 0 до 4000;3300;49158026;
рандом от 0 до 4000;3300;62727;
рандом от 0 до 4000;3300;590555;
рандом от 0 до 4000;3300;11282754;
рандом от 0 до 4000;3300;495113;
рандом от 0 до 4000;3300;1879741;
рандом от 0 до 4000;3300;43932;
рандом от 0 до 4000;3300;16344088;
рандом от 0 до 4000;3300;154642;
рандом от 0 до 4000;3300;188109;
рандом от 0 до 4000;3400;14118774;
рандом от 0 до 4000;3400;28891500;
рандом от 0 до 4000;3400;34548732;
рандом от 0 до 4000;3400;52103483;
рандом от 0 до 4000;3400;64627;
рандом от 0 до 4000;3400;609349;
рандом от 0 до 4000;3400;11992189;
рандом от 0 до 4000;3400;511418;
рандом от 0 до 4000;3400;1985389;
рандом от 0 до 4000;3400;45232;
рандом от 0 до 4000;3400;17349372;
рандом от 0 до 4000;3400;159886;
рандом от 0 до 4000;3400;193119;
рандом от 0 до 4000;3500;14961017;
рандом от 0 до 4000;3500;30616250;
рандом от 0 до 4000;3500;36664228;
рандом от 0 до 4000;3500;55238348;
рандом от 0 до 4000;3500;66527;
рандом от 0 до 4000;3500;629471;
рандом от 0 до 4000;3500;12651484;
рандом от 0 до 4000;3500;527847;
рандом от 0 до 4000;3500;2117433;
рандом от 0 до 4000;3500;46532;
рандом от 0 до 4000;3500;18384676;
рандом от 0 до 4000;3500;165094;
рандом от 0 до 4000;3500;194730;
рандом от 0 до 4000;3600;15814628;
рандом от 0 до 4000;3600;32391000;
рандом от 0 до 4000;3600;38831233;
рандом от 0 до 4000;3600;58529319;
рандом от 0 до 4000;3600;68427;
рандом от 0 до 4000;3600;652189;
рандом от 0 до 4000;3600;13314169;
рандом от 0 до 4000;3600;544328;
рандом от 0 до 4000;3600;2224495;
рандом от 0 до 4000;3600;47832;
рандом от 0 до 4000;3600;19449919;
рандом от 0 до 4000;3600;169902;
рандом от 0 до 4000;3600;208019;
рандом от 0 до 4000;3700;16827234;
рандом от 0 до 4000;3700;34215750;
рандом от 0 до 4000;3700;40943662;
рандом от 0 до 4000;3700;61808746;
рандом от 0 до 4000;3700;70327;
рандом от 0 до 4000;3700;669926;
рандом от 0 до 4000;3700;14150154;
рандом от 0 до 4000;3700;560719;
рандом от 0 до 4000;3700;2351085;
рандом от 0 до 4000;3700;49132;
рандом от 0 до 4000;3700;20545260;
рандом от 0 до 4000;3700;175330;
рандом от 0 до 4000;3700;207559;
рандом от 0 до 4000;3800;17844260;
рандом от 0 до 4000;3800;36090500;
рандом от 0 до 4000;3800;43129427;
рандом от 0 до 4000;3800;65270353;
рандом от 0 до 4000;3800;72227;
рандом от 0 до 4000;3800;686856;
рандом от 0 до 4000;3800;14989239;
рандом от 0 до 4000;3800;577204;
рандом от 0 до 4000;3800;2494539;
рандом от 0 до 4000;3800;50432;
рандом от 0 до 4000;3800;21670489;
рандом от 0 до 4000;3800;180566;
рандом от 0 до 4000;3800;215403;
рандом от 0 до 4000;3900;18861626;
рандом от 0 до 4000;3900;38015250;
рандом от 0 до 4000;3900;45411508;
рандом от 0 до 4000;3900;68756162;
рандом от 0 до 4000;3900;74127;
рандом от 0 до 4000;3900;707083;
рандом от 0 до 4000;3900;15806434;
рандом от 0 до 4000;3900;593242;
рандом от 0 до 4000;3900;2612011;
рандом от 0 до 4000;3900;51732;
рандом от 0 до 4000;3900;22825765;
рандом от 0 до 4000;3900;186070;
рандом от 0 до 4000;3900;219355;
рандом от 0 до 4000;4000;19802082;
рандом от 0 до 4000;4000;39990000;
рандом от 0 до 4000;4000;47828317;
рандом от 0 до 4000;4000;72265719;
рандом от 0 до 4000;4000;76027;
рандом от 0 до 4000;4000;729480;
рандом от 0 до 4000;4000;16533789;
рандом от 0 до 4000;4000;609496;
рандом от 0 до 4000;4000;2737417;
рандом от 0 до 4000;4000;53032;
рандом от 0 до 4000;4000;24011037;
рандом от 0 до 4000;4000;191390;
рандом от 0 до 4000;4000;231800;
рандом от 0 до 4000;4100;20930738;
рандом от 0 до 4000;4100;42014750;
рандом от 0 до 4000;4100;50162095;
рандом от 0 до 4000;4100;75940488;
рандом от 0 до 4000;4100;77927;
рандом от 0 до 4000;4100;750569;
рандом от 0 до 4000;4100;17460304;
рандом от 0 до 4000;4100;625765;
рандом от 0 до 4000;4100;2874945;
рандом от 0 до 4000;4100;54332;
рандом от 0 до 4000;4100;25226285;
рандом от 0 до 4000;4100;196970;
рандом от 0 до 4000;4100;258750;
почти отсортирован;100;4407;
почти отсортирован;100;24750;
почти отсортирован;100;44750;
почти отсортирован;100;802;
почти отсортирован;100;2303;
почти отсортирован;100;12942;
почти отсортирован;100;594;
почти отсортирован;100;9728;
почти отсортирован;100;20890;
почти отсортирован;100;2524;
почти отсортирован;100;15051;
почти отсортирован;100;2044;
почти отсортирован;100;2515;
почти отсортирован;200;10211;
почти отсортирован;200;99500;
почти отсортирован;200;179500;
почти отсортирован;200;1602;
почти отсортирован;200;4603;
почти отсортирован;200;29708;
почти отсортирован;200;1194;
почти отсортирован;200;21776;
почти отсортирован;200;81790;
почти отсортирован;200;4024;
почти отсортирован;200;60101;
почти отсортирован;200;4884;
почти отсортирован;200;6015;
почти отсортирован;300;16684;
почти отсортирован;300;224250;
почти отсортирован;300;404083;
почти отсортирован;300;4889;
почти отсортирован;300;14947;
почти отсортирован;300;47707;
почти отсортирован;300;1959;
почти отсортирован;300;34615;
почти отсортирован;300;181485;
почти отсортирован;300;9782;
почти отсортирован;300;135217;
почти отсортирован;300;8016;
почти отсортирован;300;10619;
почти отсортирован;400;23884;
почти отсортирован;400;399000;
почти отсортирован;400;718333;
почти отсортирован;400;6789;
почти отсортирован;400;16847;
почти отсортирован;400;66805;
почти отсортирован;400;3059;
почти отсортирован;400;48029;
почти отсортирован;400;321985;
почти отсортирован;400;12182;
почти отсортирован;400;240467;
почти отсортирован;400;11911;
почти отсортирован;400;14414;
почти отсортирован;500;31084;
почти отсортирован;500;623750;
почти отсортирован;500;1122583;
почти отсортирован;500;8689;
почти отсортирован;500;18747;
почти отсортирован;500;85994;
почти отсортирован;500;4159;
почти отсортирован;500;61373;
почти отсортирован;500;502485;
почти отсортирован;500;14582;
почти отсортирован;500;375717;
почти отсортирован;500;15811;
почти отсортирован;500;18229;
почти отсортирован;600;38900;
почти отсортирован;600;898500;
почти отсортирован;600;1616833;
почти отсортирован;600;10589;
почти отсортирован;600;20647;
почти отсортирован;600;106519;
почти отсортирован;600;5259;
почти отсортирован;600;75889;
почти отсортирован;600;722985;
почти отсортирован;600;16982;
почти отсортирован;600;540967;
почти отсортирован;600;19711;
почти отсортирован;600;25019;
почти отсортирован;700;46800;
почти отсортирован;700;1223250;
почти отсортирован;700;2201083;
почти отсортирован;700;12489;
почти отсортирован;700;22547;
почти отсортирован;700;127577;
почти отсортирован;700;6359;
почти отсортирован;700;90473;
почти отсортирован;700;983485;
почти отсортирован;700;19382;
почти отсортирован;700;736217;
почти отсортирован;700;23611;
почти отсортирован;700;29329;
почти отсортирован;800;54700;
почти отсортирован;800;1598000;
почти отсортирован;800;2875333;
почти отсортирован;800;14389;
почти отсортирован;800;24447;
почти отсортирован;800;148335;
почти отсортирован;800;7459;
почти отсортирован;800;105019;
почти отсортирован;800;1283985;
почти отсортирован;800;21782;
почти отсортирован;800;961467;
почти отсортирован;800;28006;
почти отсортирован;800;33614;
почти отсортирован;900;62600;
почти отсортирован;900;2022750;
почти отсортирован;900;3639583;
почти отсортирован;900;16289;
почти отсортирован;900;26347;
почти отсортирован;900;169472;
почти отсортирован;900;8559;
почти отсортирован;900;119545;
почти отсортирован;900;1624485;
почти отсортирован;900;24182;
почти отсортирован;900;1216717;
почти отсортирован;900;32406;
почти отсортирован;900;37919;
почти отсортирован;1000;70500;
почти отсортирован;1000;2497500;
почти отсортирован;1000;4493833;
почти отсортирован;1000;18189;
почти отсортирован;1000;28247;
почти отсортирован;1000;190411;
почти отсортирован;1000;9659;
почти отсортирован;1000;134011;
почти отсортирован;1000;2004985;
почти отсортирован;1000;26582;
почти отсортирован;1000;1501967;
почти отсортирован;1000;36806;
почти отсортирован;1000;42229;
почти отсортирован;1100;78932;
почти отсортирован;1100;3022250;
почти отсортирован;1100;5438083;
почти отсортирован;1100;20089;
почти отсортирован;1100;30147;
почти отсортирован;1100;212578;
почти отсортирован;1100;10759;
почти отсортирован;1100;149545;
почти отсортирован;1100;2425485;
почти отсортирован;1100;28982;
почти отсортирован;1100;1817217;
почти отсортирован;1100;41206;
почти отсортирован;1100;52019;
почти отсортирован;1200;87532;
почти отсортирован;1200;3597000;
почти отсортирован;1200;6472333;
почти отсортирован;1200;21989;
почти отсортирован;1200;32047;
почти отсортирован;1200;235277;
почти отсортирован;1200;11859;
почти отсортирован;1200;165339;
почти отсортирован;1200;2885985;
почти отсортирован;1200;31382;
почти отсортирован;1200;2162467;
почти отсортирован;1200;45606;
почти отсортирован;1200;56819;
почти отсортирован;1300;96132;
почти отсортирован;1300;4221750;
почти отсортирован;1300;7596583;
почти отсортирован;1300;23889;
почти отсортирован;1300;33947;
почти отсортирован;1300;258300;
почти отсортирован;1300;12959;
почти отсортирован;1300;181077;
почти отсортирован;1300;3386485;
почти отсортирован;1300;33782;
почти отсортирован;1300;2537717;
почти отсортирован;1300;50006;
почти отсортирован;1300;61619;
почти отсортирован;1400;104767;
почти отсортирован;1400;4896500;
почти отсортирован;1400;8810798;
почти отсортирован;1400;67922;
почти отсортирован;1400;35847;
почти отсортирован;1400;280913;
почти отсортирован;1400;14094;
почти отсортирован;1400;196805;
почти отсортирован;1400;3905942;
почти отсортирован;1400;36182;
почти отсортирован;1400;2942967;
почти отсортирован;1400;54410;
почти отсортирован;1400;66438;
почти отсортирован;1500;113367;
почти отсортирован;1500;5621250;
почти отсортирован;1500;10115048;
почти отсортирован;1500;69822;
почти отсортирован;1500;37747;
почти отсортирован;1500;304009;
почти отсортирован;1500;15194;
почти отсортирован;1500;212489;
почти отсортирован;1500;4486442;
почти отсортирован;1500;38582;
почти отсортирован;1500;3378217;
почти отсортирован;1500;58810;
почти отсортирован;1500;71231;
почти отсортирован;1600;121967;
почти отсортирован;1600;6396000;
почти отсортирован;1600;11509298;
почти отсортирован;1600;71722;
почти отсортирован;1600;39647;
почти отсортирован;1600;326769;
почти отсортирован;1600;16294;
почти отсортирован;1600;228195;
почти отсортирован;1600;5106942;
почти отсортирован;1600;40982;
