type; size; time
рандом от 0 до 5;3800;552786;
рандом от 0 до 5;3900;14574853;
рандом от 0 до 5;3900;83331662;
рандом от 0 до 5;3900;80937712;
рандом от 0 до 5;3900;86913875;
рандом от 0 до 5;3900;141182;
рандом от 0 до 5;3900;860488;
рандом от 0 до 5;3900;16124108;
рандом от 0 до 5;3900;582871;
рандом от 0 до 5;3900;4391821;
рандом от 0 до 5;3900;72586;
рандом от 0 до 5;3900;28720122;
рандом от 0 до 5;3900;355519;
рандом от 0 до 5;3900;493114;
рандом от 0 до 5;4000;14825387;
рандом от 0 до 5;4000;89944671;
рандом от 0 до 5;4000;83861149;
рандом от 0 до 5;4000;93066535;
рандом от 0 до 5;4000;168463;
рандом от 0 до 5;4000;912917;
рандом от 0 до 5;4000;16584217;
рандом от 0 до 5;4000;621342;
рандом от 0 до 5;4000;4275501;
рандом от 0 до 5;4000;61699;
рандом от 0 до 5;4000;29833502;
рандом от 0 до 5;4000;368295;
рандом от 0 до 5;4000;445922;
рандом от 0 до 5;4100;15825870;
рандом от 0 до 5;4100;92717705;
рандом от 0 до 5;4100;90681978;
рандом от 0 до 5;4100;98679721;
рандом от 0 до 5;4100;215661;
рандом от 0 до 5;4100;908380;
рандом от 0 до 5;4100;17923471;
рандом от 0 до 5;4100;584730;
рандом от 0 до 5;4100;4467352;
рандом от 0 до 5;4100;64824;
рандом от 0 до 5;4100;33672567;
рандом от 0 до 5;4100;386482;
рандом от 0 до 5;4100;510801;
рандом от 0 до 4000;100;10200;
рандом от 0 до 4000;100;49205;
рандом от 0 до 4000;100;38406;
рандом от 0 до 4000;100;39780;
рандом от 0 до 4000;100;8671;
рандом от 0 до 4000;100;14744;
рандом от 0 до 4000;100;9684;
рандом от 0 до 4000;100;8935;
рандом от 0 до 4000;100;5806;
рандом от 0 до 4000;100;2301;
рандом от 0 до 4000;100;19954;
рандом от 0 до 4000;100;4533;
рандом от 0 до 4000;100;4809;
рандом от 0 до 4000;200;47925;
рандом от 0 до 4000;200;173556;
рандом от 0 до 4000;200;187088;
рандом от 0 до 4000;200;190693;
рандом от 0 до 4000;200;6717;
рандом от 0 до 4000;200;32790;
рандом от 0 до 4000;200;60610;
рандом от 0 до 4000;200;37733;
рандом от 0 до 4000;200;28372;
рандом от 0 до 4000;200;6505;
рандом от 0 до 4000;200;83491;
рандом от 0 до 4000;200;9271;
рандом от 0 до 4000;200;17397;
рандом от 0 до 4000;300;95182;
рандом от 0 до 4000;300;438488;
рандом от 0 до 4000;300;396763;
рандом от 0 до 4000;300;493616;
рандом от 0 до 4000;300;10859;
рандом от 0 до 4000;300;52834;
рандом от 0 до 4000;300;103370;
рандом от 0 до 4000;300;30873;
рандом от 0 до 4000;300;31368;
рандом от 0 до 4000;300;5405;
рандом от 0 до 4000;300;200706;
рандом от 0 до 4000;300;20681;
рандом от 0 до 4000;300;22344;
рандом от 0 до 4000;400;185994;
рандом от 0 до 4000;400;786712;
рандом от 0 до 4000;400;777895;
рандом от 0 до 4000;400;838997;
рандом от 0 до 4000;400;23905;
рандом от 0 до 4000;400;57651;
рандом от 0 до 4000;400;178369;
рандом от 0 до 4000;400;46749;
рандом от 0 до 4000;400;52761;
рандом от 0 до 4000;400;7038;
рандом от 0 до 4000;400;326675;
рандом от 0 до 4000;400;25834;
рандом от 0 до 4000;400;36627;
рандом от 0 до 4000;500;284014;
рандом от 0 до 4000;500;1179272;
рандом от 0 до 4000;500;1153114;
рандом от 0 до 4000;500;1722675;
рандом от 0 до 4000;500;22798;
рандом от 0 до 4000;500;84644;
рандом от 0 до 4000;500;340161;
рандом от 0 до 4000;500;94811;
рандом от 0 до 4000;500;78543;
рандом от 0 до 4000;500;9452;
рандом от 0 до 4000;500;649847;
рандом от 0 до 4000;500;30387;
рандом от 0 до 4000;500;32527;
рандом от 0 до 4000;600;502826;
рандом от 0 до 4000;600;1878089;
рандом от 0 до 4000;600;1726696;
рандом от 0 до 4000;600;1825761;
рандом от 0 до 4000;600;19227;
рандом от 0 до 4000;600;92322;
рандом от 0 до 4000;600;367176;
рандом от 0 до 4000;600;67069;
рандом от 0 до 4000;600;102319;
рандом от 0 до 4000;600;10700;
рандом от 0 до 4000;600;647060;
рандом от 0 до 4000;600;39374;
рандом от 0 до 4000;600;50308;
рандом от 0 до 4000;700;604808;
рандом от 0 до 4000;700;2264421;
рандом от 0 до 4000;700;2891156;
рандом от 0 до 4000;700;2510327;
рандом от 0 до 4000;700;23346;
рандом от 0 до 4000;700;150582;
рандом от 0 до 4000;700;460086;
рандом от 0 до 4000;700;86021;
рандом от 0 до 4000;700;153767;
рандом от 0 до 4000;700;11731;
рандом от 0 до 4000;700;925417;
рандом от 0 до 4000;700;44765;
рандом от 0 до 4000;700;52338;
рандом от 0 до 4000;800;555251;
рандом от 0 до 4000;800;3080662;
рандом от 0 до 4000;800;3106598;
рандом от 0 до 4000;800;3551181;
рандом от 0 до 4000;800;25388;
рандом от 0 до 4000;800;146320;
рандом от 0 до 4000;800;636737;
рандом от 0 до 4000;800;107554;
рандом от 0 до 4000;800;195085;
рандом от 0 до 4000;800;13230;
рандом от 0 до 4000;800;1286604;
рандом от 0 до 4000;800;60105;
рандом от 0 до 4000;800;90553;
рандом от 0 до 4000;900;821364;
рандом от 0 до 4000;900;4014750;
рандом от 0 до 4000;900;3867614;
рандом от 0 до 4000;900;4196614;
рандом от 0 до 4000;900;37909;
рандом от 0 до 4000;900;148450;
рандом от 0 до 4000;900;810751;
рандом от 0 до 4000;900;118099;
рандом от 0 до 4000;900;209667;
рандом от 0 до 4000;900;15196;
рандом от 0 до 4000;900;1486523;
рандом от 0 до 4000;900;70325;
рандом от 0 до 4000;900;75793;
рандом от 0 до 4000;1000;917701;
рандом от 0 до 4000;1000;5525126;
рандом от 0 до 4000;1000;4869189;
рандом от 0 до 4000;1000;5479147;
рандом от 0 до 4000;1000;31684;
рандом от 0 до 4000;1000;183058;
рандом от 0 до 4000;1000;1070901;
рандом от 0 до 4000;1000;124184;
рандом от 0 до 4000;1000;278037;
рандом от 0 до 4000;1000;16892;
рандом от 0 до 4000;1000;1915401;
рандом от 0 до 4000;1000;78579;
рандом от 0 до 4000;1000;103093;
рандом от 0 до 4000;1100;1199773;
рандом от 0 до 4000;1100;6255684;
рандом от 0 до 4000;1100;6050155;
рандом от 0 до 4000;1100;7000157;
рандом от 0 до 4000;1100;34694;
рандом от 0 до 4000;1100;214367;
рандом от 0 до 4000;1100;1350544;
рандом от 0 до 4000;1100;142759;
рандом от 0 до 4000;1100;356848;
рандом от 0 до 4000;1100;18223;
рандом от 0 до 4000;1100;2438567;
рандом от 0 до 4000;1100;84734;
рандом от 0 до 4000;1100;108383;
рандом от 0 до 4000;1200;1498556;
рандом от 0 до 4000;1200;7803549;
рандом от 0 до 4000;1200;6934618;
рандом от 0 до 4000;1200;8159098;
рандом от 0 до 4000;1200;41592;
рандом от 0 до 4000;1200;253763;
рандом от 0 до 4000;1200;1627638;
рандом от 0 до 4000;1200;179041;
рандом от 0 до 4000;1200;411898;
рандом от 0 до 4000;1200;19027;
рандом от 0 до 4000;1200;2902835;
рандом от 0 до 4000;1200;93756;
рандом от 0 до 4000;1200;144997;
рандом от 0 до 4000;1300;1771848;
рандом от 0 до 4000;1300;8820162;
рандом от 0 до 4000;1300;8355412;
рандом от 0 до 4000;1300;9283675;
рандом от 0 до 4000;1300;97999;
рандом от 0 до 4000;1300;500947;
рандом от 0 до 4000;1300;1757025;
рандом от 0 до 4000;1300;154876;
рандом от 0 до 4000;1300;412008;
рандом от 0 до 4000;1300;21031;
рандом от 0 до 4000;1300;3092946;
рандом от 0 до 4000;1300;89361;
рандом от 0 до 4000;1300;121963;
рандом от 0 до 4000;1400;1770200;
рандом от 0 до 4000;1400;9745134;
рандом от 0 до 4000;1400;10037590;
рандом от 0 до 4000;1400;11235025;
рандом от 0 до 4000;1400;52493;
рандом от 0 до 4000;1400;315140;
рандом от 0 до 4000;1400;2118293;
рандом от 0 до 4000;1400;198590;
рандом от 0 до 4000;1400;523549;
рандом от 0 до 4000;1400;22548;
рандом от 0 до 4000;1400;3933117;
рандом от 0 до 4000;1400;146452;
рандом от 0 до 4000;1400;138579;
рандом от 0 до 4000;1500;2439031;
рандом от 0 до 4000;1500;12934658;
рандом от 0 до 4000;1500;12145996;
рандом от 0 до 4000;1500;12409068;
рандом от 0 до 4000;1500;48014;
рандом от 0 до 4000;1500;267521;
рандом от 0 до 4000;1500;2335575;
рандом от 0 до 4000;1500;228651;
рандом от 0 до 4000;1500;569688;
рандом от 0 до 4000;1500;25227;
рандом от 0 до 4000;1500;4058604;
рандом от 0 до 4000;1500;115109;
рандом от 0 до 4000;1500;139158;
рандом от 0 до 4000;1600;2271687;
рандом от 0 до 4000;1600;13755677;
рандом от 0 до 4000;1600;12712460;
рандом от 0 до 4000;1600;13855024;
рандом от 0 до 4000;1600;53339;
рандом от 0 до 4000;1600;315524;
рандом от 0 до 4000;1600;2860252;
рандом от 0 до 4000;1600;226587;
рандом от 0 до 4000;1600;686919;
рандом от 0 до 4000;1600;27065;
рандом от 0 до 4000;1600;4761086;
рандом от 0 до 4000;1600;118880;
рандом от 0 до 4000;1600;187053;
рандом от 0 до 4000;1700;2721257;
рандом от 0 до 4000;1700;15255914;
рандом от 0 до 4000;1700;15761864;
рандом от 0 до 4000;1700;16338607;
рандом от 0 до 4000;1700;56750;
рандом от 0 до 4000;1700;316640;
рандом от 0 до 4000;1700;3234710;
рандом от 0 до 4000;1700;235709;
рандом от 0 до 4000;1700;750907;
рандом от 0 до 4000;1700;28185;
рандом от 0 до 4000;1700;5416899;
рандом от 0 до 4000;1700;138305;
рандом от 0 до 4000;1700;153370;
рандом от 0 до 4000;1800;3452467;
рандом от 0 до 4000;1800;18086608;
рандом от 0 до 4000;1800;17424376;
рандом от 0 до 4000;1800;18130153;
рандом от 0 до 4000;1800;58137;
рандом от 0 до 4000;1800;366546;
рандом от 0 до 4000;1800;3225750;
рандом от 0 до 4000;1800;313964;
рандом от 0 до 4000;1800;918720;
рандом от 0 до 4000;1800;39391;
рандом от 0 до 4000;1800;6065721;
рандом от 0 до 4000;1800;134961;
рандом от 0 до 4000;1800;194250;
рандом от 0 до 4000;1900;3340650;
рандом от 0 до 4000;1900;19050781;
рандом от 0 до 4000;1900;18864210;
рандом от 0 до 4000;1900;20973400;
рандом от 0 до 4000;1900;67771;
рандом от 0 до 4000;1900;432874;
рандом от 0 до 4000;1900;4270825;
рандом от 0 до 4000;1900;317259;
рандом от 0 до 4000;1900;1059743;
рандом от 0 до 4000;1900;31891;
рандом от 0 до 4000;1900;13621402;
рандом от 0 до 4000;1900;152984;
рандом от 0 до 4000;1900;186377;
рандом от 0 до 4000;2000;4614236;
рандом от 0 до 4000;2000;21196493;
рандом от 0 до 4000;2000;20126128;
рандом от 0 до 4000;2000;22324343;
рандом от 0 до 4000;2000;73406;
рандом от 0 до 4000;2000;433849;
рандом от 0 до 4000;2000;4207330;
рандом от 0 до 4000;2000;262661;
рандом от 0 до 4000;2000;972247;
рандом от 0 до 4000;2000;33934;
рандом от 0 до 4000;2000;7544325;
рандом от 0 до 4000;2000;184724;
рандом от 0 до 4000;2000;205689;
рандом от 0 до 4000;2100;4260563;
рандом от 0 до 4000;2100;24455179;
рандом от 0 до 4000;2100;24263002;
рандом от 0 до 4000;2100;25345804;
рандом от 0 до 4000;2100;76851;
рандом от 0 до 4000;2100;456044;
рандом от 0 до 4000;2100;4581417;
рандом от 0 до 4000;2100;273099;
рандом от 0 до 4000;2100;1126014;
рандом от 0 до 4000;2100;44060;
рандом от 0 до 4000;2100;8112937;
рандом от 0 до 4000;2100;193983;
рандом от 0 до 4000;2100;202754;
рандом от 0 до 4000;2200;4479845;
рандом от 0 до 4000;2200;26518372;
рандом от 0 до 4000;2200;25506177;
рандом от 0 до 4000;2200;26624306;
рандом от 0 до 4000;2200;73216;
рандом от 0 до 4000;2200;535187;
рандом от 0 до 4000;2200;5336100;
рандом от 0 до 4000;2200;327790;
рандом от 0 до 4000;2200;1217259;
рандом от 0 до 4000;2200;40942;
рандом от 0 до 4000;2200;8914744;
рандом от 0 до 4000;2200;177010;
рандом от 0 до 4000;2200;221115;
рандом от 0 до 4000;2300;4885134;
рандом от 0 до 4000;2300;28408710;
рандом от 0 до 4000;2300;27692698;
рандом от 0 до 4000;2300;28618075;
рандом от 0 до 4000;2300;75843;
рандом от 0 до 4000;2300;475477;
рандом от 0 до 4000;2300;6291842;
рандом от 0 до 4000;2300;314379;
рандом от 0 до 4000;2300;1413007;
рандом от 0 до 4000;2300;37922;
рандом от 0 до 4000;2300;10060730;
рандом от 0 до 4000;2300;211181;
рандом от 0 до 4000;2300;248079;
рандом от 0 до 4000;2400;5552794;
рандом от 0 до 4000;2400;30327546;
рандом от 0 до 4000;2400;30113129;
рандом от 0 до 4000;2400;33273881;
рандом от 0 до 4000;2400;79103;
рандом от 0 до 4000;2400;546016;
рандом от 0 до 4000;2400;6219997;
рандом от 0 до 4000;2400;317235;
рандом от 0 до 4000;2400;1567607;
рандом от 0 до 4000;2400;40573;
рандом от 0 до 4000;2400;11021425;
рандом от 0 до 4000;2400;186745;
рандом от 0 до 4000;2400;268688;
рандом от 0 до 4000;2500;5794843;
рандом от 0 до 4000;2500;36524713;
рандом от 0 до 4000;2500;33798669;
рандом от 0 до 4000;2500;37206430;
рандом от 0 до 4000;2500;133330;
рандом от 0 до 4000;2500;569533;
рандом от 0 до 4000;2500;6641060;
рандом от 0 до 4000;2500;435781;
рандом от 0 до 4000;2500;1750368;
рандом от 0 до 4000;2500;41441;
рандом от 0 до 4000;2500;11414447;
рандом от 0 до 4000;2500;196434;
рандом от 0 до 4000;2500;256384;
рандом от 0 до 4000;2600;6234816;
рандом от 0 до 4000;2600;34785503;
рандом от 0 до 4000;2600;35244358;
рандом от 0 до 4000;2600;38740978;
рандом от 0 до 4000;2600;84436;
рандом от 0 до 4000;2600;524116;
рандом от 0 до 4000;2600;7368208;
рандом от 0 до 4000;2600;372485;
рандом от 0 до 4000;2600;1697895;
рандом от 0 до 4000;2600;44256;
рандом от 0 до 4000;2600;12330482;
рандом от 0 до 4000;2600;236947;
рандом от 0 до 4000;2600;313238;
рандом от 0 до 4000;2700;9418391;
рандом от 0 до 4000;2700;39170320;
рандом от 0 до 4000;2700;37278065;
рандом от 0 до 4000;2700;41147258;
рандом от 0 до 4000;2700;109030;
рандом от 0 до 4000;2700;643033;
рандом от 0 до 4000;2700;8178114;
рандом от 0 до 4000;2700;399143;
рандом от 0 до 4000;2700;2284950;
рандом от 0 до 4000;2700;51201;
рандом от 0 до 4000;2700;15655271;
рандом от 0 до 4000;2700;232926;
рандом от 0 до 4000;2700;300512;
рандом от 0 до 4000;2800;7128930;
рандом от 0 до 4000;2800;41548987;
рандом от 0 до 4000;2800;41467978;
рандом от 0 до 4000;2800;45228932;
рандом от 0 до 4000;2800;91542;
рандом от 0 до 4000;2800;665000;
рандом от 0 до 4000;2800;8949689;
рандом от 0 до 4000;2800;409426;
рандом от 0 до 4000;2800;2078737;
рандом от 0 до 4000;2800;65163;
рандом от 0 до 4000;2800;16648872;
рандом от 0 до 4000;2800;230254;
рандом от 0 до 4000;2800;388467;
рандом от 0 до 4000;2900;9049564;
рандом от 0 до 4000;2900;53474799;
рандом от 0 до 4000;2900;49409440;
рандом от 0 до 4000;2900;48296571;
рандом от 0 до 4000;2900;156287;
рандом от 0 до 4000;2900;797390;
рандом от 0 до 4000;2900;8788912;
рандом от 0 до 4000;2900;386214;
рандом от 0 до 4000;2900;2002623;
рандом от 0 до 4000;2900;75641;
рандом от 0 до 4000;2900;16614652;
рандом от 0 до 4000;2900;231033;
рандом от 0 до 4000;2900;301479;
рандом от 0 до 4000;3000;8385706;
рандом от 0 до 4000;3000;49708743;
рандом от 0 до 4000;3000;52508412;
рандом от 0 до 4000;3000;54072611;
рандом от 0 до 4000;3000;115402;
рандом от 0 до 4000;3000;791101;
рандом от 0 до 4000;3000;9953307;
рандом от 0 до 4000;3000;615325;
рандом от 0 до 4000;3000;2627936;
рандом от 0 до 4000;3000;61127;
рандом от 0 до 4000;3000;17904929;
рандом от 0 до 4000;3000;252277;
рандом от 0 до 4000;3000;313357;
рандом от 0 до 4000;3100;9537946;
рандом от 0 до 4000;3100;55710288;
рандом от 0 до 4000;3100;55761390;
рандом от 0 до 4000;3100;56723708;
рандом от 0 до 4000;3100;102165;
рандом от 0 до 4000;3100;706715;
рандом от 0 до 4000;3100;10366854;
рандом от 0 до 4000;3100;439962;
рандом от 0 до 4000;3100;2214403;
рандом от 0 до 4000;3100;51660;
рандом от 0 до 4000;3100;18479441;
рандом от 0 до 4000;3100;386295;
рандом от 0 до 4000;3100;310383;
рандом от 0 до 4000;3200;10113754;
рандом от 0 до 4000;3200;58190579;
рандом от 0 до 4000;3200;59585041;
рандом от 0 до 4000;3200;62291838;
рандом от 0 до 4000;3200;105194;
рандом от 0 до 4000;3200;916755;
рандом от 0 до 4000;3200;12875480;
рандом от 0 до 4000;3200;622472;
рандом от 0 до 4000;3200;3173618;
рандом от 0 до 4000;3200;51083;
рандом от 0 до 4000;3200;22389403;
рандом от 0 до 4000;3200;354603;
рандом от 0 до 4000;3200;451094;
рандом от 0 до 4000;3300;10650306;
рандом от 0 до 4000;3300;58910458;
рандом от 0 до 4000;3300;57556705;
рандом от 0 до 4000;3300;62420053;
рандом от 0 до 4000;3300;138167;
рандом от 0 до 4000;3300;730611;
рандом от 0 до 4000;3300;11694572;
рандом от 0 до 4000;3300;522567;
рандом от 0 до 4000;3300;2780425;
рандом от 0 до 4000;3300;58053;
рандом от 0 до 4000;3300;20171038;
рандом от 0 до 4000;3300;265037;
рандом от 0 до 4000;3300;371171;
рандом от 0 до 4000;3400;10767379;
рандом от 0 до 4000;3400;63403641;
рандом от 0 до 4000;3400;61704824;
рандом от 0 до 4000;3400;66499553;
рандом от 0 до 4000;3400;107220;
рандом от 0 до 4000;3400;999696;
рандом от 0 до 4000;3400;12415371;
рандом от 0 до 4000;3400;460179;
рандом от 0 до 4000;3400;2758141;
рандом от 0 до 4000;3400;54339;
рандом от 0 до 4000;3400;21530564;
рандом от 0 до 4000;3400;290261;
рандом от 0 до 4000;3400;340824;
рандом от 0 до 4000;3500;11547314;
рандом от 0 до 4000;3500;67074018;
рандом от 0 до 4000;3500;65570087;
рандом от 0 до 4000;3500;72554525;
рандом от 0 до 4000;3500;122804;
рандом от 0 до 4000;3500;1007253;
рандом от 0 до 4000;3500;13452483;
рандом от 0 до 4000;3500;511720;
рандом от 0 до 4000;3500;2992094;
рандом от 0 до 4000;3500;65738;
рандом от 0 до 4000;3500;23987687;
рандом от 0 до 4000;3500;306990;
рандом от 0 до 4000;3500;330574;
рандом от 0 до 4000;3600;11976921;
рандом от 0 до 4000;3600;71421184;
рандом от 0 до 4000;3600;74057599;
рандом от 0 до 4000;3600;75585230;
рандом от 0 до 4000;3600;116395;
рандом от 0 до 4000;3600;858454;
рандом от 0 до 4000;3600;13535886;
рандом от 0 до 4000;3600;491787;
рандом от 0 до 4000;3600;3215073;
рандом от 0 до 4000;3600;58780;
рандом от 0 до 4000;3600;25972623;
рандом от 0 до 4000;3600;341810;
рандом от 0 до 4000;3600;372419;
рандом от 0 до 4000;3700;13104971;
рандом от 0 до 4000;3700;74576998;
рандом от 0 до 4000;3700;78527416;
рандом от 0 до 4000;3700;84449217;
рандом от 0 до 4000;3700;137562;
рандом от 0 до 4000;3700;879228;
рандом от 0 до 4000;3700;14277495;
рандом от 0 до 4000;3700;535751;
рандом от 0 до 4000;3700;3197992;
рандом от 0 до 4000;3700;59780;
рандом от 0 до 4000;3700;27142181;
рандом от 0 до 4000;3700;498567;
рандом от 0 до 4000;3700;427338;
рандом от 0 до 4000;3800;15569552;
рандом от 0 до 4000;3800;80112068;
рандом от 0 до 4000;3800;81738372;
рандом от 0 до 4000;3800;89459541;
рандом от 0 до 4000;3800;122527;
рандом от 0 до 4000;3800;819034;
рандом от 0 до 4000;3800;16169005;
рандом от 0 до 4000;3800;579705;
рандом от 0 до 4000;3800;3723393;
рандом от 0 до 4000;3800;101348;
рандом от 0 до 4000;3800;27709278;
рандом от 0 до 4000;3800;325050;
рандом от 0 до 4000;3800;395098;
рандом от 0 до 4000;3900;14662031;
рандом от 0 до 4000;3900;82017615;
рандом от 0 до 4000;3900;82540162;
рандом от 0 до 4000;3900;88695549;
рандом от 0 до 4000;3900;276382;
рандом от 0 до 4000;3900;2427265;
рандом от 0 до 4000;3900;16863663;
рандом от 0 до 4000;3900;574514;
рандом от 0 до 4000;3900;3842640;
рандом от 0 до 4000;3900;64999;
рандом от 0 до 4000;3900;30137438;
рандом от 0 до 4000;3900;337927;
рандом от 0 до 4000;3900;418210;
рандом от 0 до 4000;4000;15218959;
рандом от 0 до 4000;4000;87551095;
рандом от 0 до 4000;4000;86713474;
рандом от 0 до 4000;4000;94729413;
рандом от 0 до 4000;4000;125648;
рандом от 0 до 4000;4000;873241;
рандом от 0 до 4000;4000;16555331;
рандом от 0 до 4000;4000;564618;
рандом от 0 до 4000;4000;3881407;
рандом от 0 до 4000;4000;75102;
рандом от 0 до 4000;4000;32000592;
рандом от 0 до 4000;4000;421482;
рандом от 0 до 4000;4000;452632;
рандом от 0 до 4000;4100;16916377;
рандом от 0 до 4000;4100;93269345;
рандом от 0 до 4000;4100;100545048;
рандом от 0 до 4000;4100;102874500;
рандом от 0 до 4000;4100;136350;
рандом от 0 до 4000;4100;1053780;
рандом от 0 до 4000;4100;19339280;
рандом от 0 до 4000;4100;595508;
рандом от 0 до 4000;4100;4186118;
рандом от 0 до 4000;4100;65964;
рандом от 0 до 4000;4100;35029220;
рандом от 0 до 4000;4100;387885;
рандом от 0 до 4000;4100;457819;
почти отсортирован;100;3994;
почти отсортирован;100;17851;
почти отсортирован;100;52918;
почти отсортирован;100;426;
почти отсортирован;100;4261;
почти отсортирован;100;11424;
почти отсортирован;100;595;
почти отсортирован;100;12225;
почти отсортирован;100;81337;
почти отсортирован;100;2960;
почти отсортирован;100;21372;
почти отсортирован;100;2364;
почти отсортирован;100;2935;
почти отсортирован;200;9258;
почти отсортирован;200;71734;
почти отсортирован;200;234634;
почти отсортирован;200;806;
почти отсортирован;200;8041;
почти отсортирован;200;34724;
почти отсортирован;200;1070;
почти отсортирован;200;15806;
почти отсортирован;200;193821;
почти отсортирован;200;4482;
почти отсортирован;200;81328;
почти отсортирован;200;5448;
почти отсортирован;200;6849;
почти отсортирован;300;16150;
почти отсортирован;300;159214;
почти отсортирован;300;493451;
почти отсортирован;300;2615;
почти отсортирован;300;25245;
почти отсортирован;300;47748;
почти отсортирован;300;1777;
почти отсортирован;300;37088;
почти отсортирован;300;523372;
почти отсортирован;300;12302;
почти отсортирован;300;155115;
почти отсортирован;300;9104;
почти отсортирован;300;12256;
почти отсортирован;400;30579;
почти отсортирован;400;304420;
почти отсортирован;400;878259;
почти отсортирован;400;4143;
почти отсортирован;400;28679;
почти отсортирован;400;78594;
почти отсортирован;400;2877;
почти отсортирован;400;36725;
почти отсортирован;400;806019;
почти отсортирован;400;13151;
почти отсортирован;400;326544;
почти отсортирован;400;15039;
почти отсортирован;400;39135;
почти отсортирован;500;48375;
почти отсортирован;500;487871;
почти отсортирован;500;1440396;
почти отсортирован;500;5644;
почти отсортирован;500;40336;
почти отсортирован;500;99111;
почти отсортирован;500;3808;
почти отсортирован;500;45074;
почти отсортирован;500;1536041;
почти отсортирован;500;16335;
почти отсортирован;500;478255;
почти отсортирован;500;18820;
почти отсортирован;500;22629;
почти отсортирован;600;44904;
почти отсортирован;600;711747;
почти отсортирован;600;3025250;
почти отсортирован;600;7721;
почти отсортирован;600;55697;
почти отсортирован;600;159793;
почти отсортирован;600;5251;
почти отсортирован;600;96590;
почти отсортирован;600;1949485;
почти отсортирован;600;20487;
почти отсортирован;600;668692;
почти отсортирован;600;23998;
почти отсортирован;600;30963;
почти отсортирован;700;58215;
почти отсортирован;700;947706;
почти отсортирован;700;2854723;
почти отсортирован;700;9229;
почти отсортирован;700;37815;
почти отсортирован;700;165264;
почти отсортирован;700;5856;
почти отсортирован;700;66222;
почти отсортирован;700;2547947;
почти отсортирован;700;22109;
почти отсортирован;700;864726;
почти отсортирован;700;29334;
почти отсортирован;700;49488;
почти отсортирован;800;62891;
почти отсортирован;800;1265853;
почти отсортирован;800;3752165;
почти отсортирован;800;10257;
почти отсортирован;800;42098;
почти отсортирован;800;161213;
почти отсортирован;800;7237;
почти отсортирован;800;79234;
почти отсортирован;800;3469644;
почти отсортирован;800;26709;
почти отсортирован;800;1239361;
почти отсортирован;800;35367;
почти отсортирован;800;42814;
почти отсортирован;900;55984;
почти отсортирован;900;1567295;
почти отсортирован;900;4785402;
почти отсортирован;900;22581;
почти отсортирован;900;45420;
почти отсортирован;900;199573;
почти отсортирован;900;7867;
почти отсортирован;900;88212;
почти отсортирован;900;4360165;
почти отсортирован;900;29686;
почти отсортирован;900;1505291;
почти отсортирован;900;75884;
почти отсортирован;900;47488;
почти отсортирован;1000;62673;
почти отсортирован;1000;1809977;
почти отсортирован;1000;5822908;
почти отсортирован;1000;14686;
почти отсортирован;1000;47104;
почти отсортирован;1000;213795;
почти отсортирован;1000;8952;
почти отсортирован;1000;107487;
почти отсортирован;1000;5395967;
почти отсортирован;1000;33788;
почти отсортирован;1000;1893156;
почти отсортирован;1000;54491;
почти отсортирован;1000;51194;
почти отсортирован;1100;96734;
почти отсортирован;1100;2481247;
почти отсортирован;1100;7117368;
почти отсортирован;1100;16098;
почти отсортирован;1100;50201;
почти отсортирован;1100;274876;
почти отсортирован;1100;9984;
почти отсортирован;1100;112785;
почти отсортирован;1100;6397850;
почти отсортирован;1100;35649;
почти отсортирован;1100;2505980;
почти отсортирован;1100;51927;
почти отсортирован;1100;67564;
почти отсортирован;1200;109839;
почти отсортирован;1200;2800664;
почти отсортирован;1200;8272406;
почти отсортирован;1200;17128;
почти отсортирован;1200;62568;
почти отсортирован;1200;284474;
почти отсортирован;1200;11434;
почти отсортирован;1200;157804;
почти отсортирован;1200;7910311;
почти отсортирован;1200;50039;
почти отсортирован;1200;2894632;
почти отсортирован;1200;82208;
почти отсортирован;1200;74186;
почти отсортирован;1300;94489;
почти отсортирован;1300;3366512;
почти отсортирован;1300;10832627;
почти отсортирован;1300;19371;
почти отсортирован;1300;63822;
почти отсортирован;1300;323034;
почти отсортирован;1300;14062;
почти отсортирован;1300;149721;
почти отсортирован;1300;10847914;
почти отсортирован;1300;38265;
почти отсортирован;1300;3461934;
почти отсортирован;1300;61108;
почти отсортирован;1300;115394;
почти отсортирован;1400;138734;
почти отсортирован;1400;4617576;
почти отсортирован;1400;13108123;
почти отсортирован;1400;77799;
почти отсортирован;1400;83309;
почти отсортирован;1400;346373;
почти отсортирован;1400;14532;
почти отсортирован;1400;160714;
почти отсортирован;1400;10888793;
почти отсортирован;1400;43367;
почти отсортирован;1400;3750382;
почти отсортирован;1400;67895;
почти отсортирован;1400;86934;
почти отсортирован;1500;101785;
почти отсортирован;1500;4302095;
почти отсортирован;1500;13315734;
почти отсортирован;1500;41364;
почти отсортирован;1500;71525;
почти отсортирован;1500;331716;
почти отсортирован;1500;15273;
почти отсортирован;1500;156736;
почти отсортирован;1500;12425894;
почти отсортирован;1500;69024;
почти отсортирован;1500;5000450;
почти отсортирован;1500;84434;
почти отсортирован;1500;103205;
почти отсортирован;1600;118465;
почти отсортирован;1600;5938770;
почти отсортирован;1600;16336382;
почти отсортирован;1600;43853;
почти отсортирован;1600;67895;
почти отсортирован;1600;391144;
почти отсортирован;1600;15856;
почти отсортирован;1600;202944;
почти отсортирован;1600;14097594;
почти отсортирован;1600;51123;
