type; size; time
почти отсортирован;150;12891;
почти отсортирован;150;189623;
почти отсортирован;150;4924;
почти отсортирован;150;85449;
почти отсортирован;150;4339;
почти отсортирован;150;9790;
почти отсортирован;200;17502;
почти отсортирован;200;123737;
почти отсортирован;200;343530;
почти отсортирован;200;872;
почти отсортирован;200;17212;
почти отсортирован;200;62614;
почти отсортирован;200;2484;
почти отсортирован;200;33759;
почти отсортирован;200;481488;
почти отсортирован;200;7950;
почти отсортирован;200;154777;
почти отсортирован;200;10104;
почти отсортирован;200;11401;
почти отсортирован;250;20888;
почти отсортирован;250;230310;
почти отсортирован;250;663904;
почти отсортирован;250;1768;
почти отсортирован;250;19667;
почти отсортирован;250;76783;
почти отсортирован;250;1624;
почти отсортирован;250;30826;
почти отсортирован;250;699665;
почти отсортирован;250;9136;
почти отсортирован;250;255468;
почти отсортирован;250;14580;
почти отсортирован;250;9577;
почти отсортирован;300;32399;
почти отсортирован;300;559181;
почти отсортирован;300;1017927;
почти отсортирован;300;5085;
почти отсортирован;300;55292;
почти отсортирован;300;85032;
почти отсортирован;300;3582;
почти отсортирован;300;50012;
почти отсортирован;300;1023422;
почти отсортирован;300;53617;
почти отсортирован;300;270338;
почти отсортирован;300;10001;
почти отсортирован;300;16380;
обратно отсортирован;50;6606;
обратно отсортирован;50;14213;
обратно отсортирован;50;248;
обратно отсортирован;50;30529;
обратно отсортирован;50;4996;
обратно отсортирован;50;7549;
обратно отсортирован;50;11464;
обратно отсортирован;50;10085;
обратно отсортирован;50;17001;
обратно отсортирован;50;5012;
обратно отсортирован;50;10402;
обратно отсортирован;50;3226;
обратно отсортирован;50;3642;
обратно отсортирован;100;52920;
обратно отсортирован;100;110129;
обратно отсортирован;100;700;
обратно отсортирован;100;186753;
обратно отсортирован;100;9576;
обратно отсортирован;100;18723;
обратно отсортирован;100;59355;
обратно отсортирован;100;16543;
обратно отсортирован;100;79938;
обратно отсортирован;100;9098;
обратно отсортирован;100;43216;
обратно отсортирован;100;11399;
обратно отсортирован;100;9117;
обратно отсортирован;150;101334;
обратно отсортирован;150;307203;
обратно отсортирован;150;997;
обратно отсортирован;150;261207;
обратно отсортирован;150;12011;
обратно отсортирован;150;35226;
обратно отсортирован;150;70510;
обратно отсортирован;150;13300;
обратно отсортирован;150;86419;
обратно отсортирован;150;6366;
обратно отсортирован;150;53160;
обратно отсортирован;150;8216;
обратно отсортирован;150;9899;
обратно отсортирован;200;153920;
обратно отсортирован;200;483335;
обратно отсортирован;200;1413;
обратно отсортирован;200;596462;
обратно отсортирован;200;21046;
обратно отсортирован;200;48202;
обратно отсортирован;200;211040;
обратно отсортирован;200;31589;
обратно отсортирован;200;266074;
обратно отсортирован;200;13777;
обратно отсортирован;200;156509;
обратно отсортирован;200;16500;
обратно отсортирован;200;19568;
обратно отсортирован;250;251588;
обратно отсортирован;250;667501;
обратно отсортирован;250;1642;
обратно отсортирован;250;786935;
обратно отсортирован;250;20311;
обратно отсортирован;250;61099;
обратно отсортирован;250;296545;
обратно отсортирован;250;35383;
обратно отсортирован;250;392573;
обратно отсортирован;250;59541;
обратно отсортирован;250;262957;
обратно отсортирован;250;20121;
обратно отсортирован;250;24604;
обратно отсортирован;300;347534;
обратно отсортирован;300;1053702;
обратно отсортирован;300;1933;
обратно отсортирован;300;727153;
обратно отсортирован;300;18959;
обратно отсортирован;300;45223;
обратно отсортирован;300;479923;
обратно отсортирован;300;32745;
обратно отсортирован;300;555505;
обратно отсортирован;300;11330;
обратно отсортирован;300;229346;
обратно отсортирован;300;20298;
обратно отсортирован;300;21303;
рандом от 0 до 5;100;13114;
рандом от 0 до 5;100;46074;
рандом от 0 до 5;100;41810;
рандом от 0 до 5;100;45602;
рандом от 0 до 5;100;4048;
рандом от 0 до 5;100;14001;
рандом от 0 до 5;100;10441;
рандом от 0 до 5;100;9179;
рандом от 0 до 5;100;6191;
рандом от 0 до 5;100;2545;
рандом от 0 до 5;100;21781;
рандом от 0 до 5;100;4893;
рандом от 0 до 5;100;5520;
рандом от 0 до 5;200;45572;
рандом от 0 до 5;200;206742;
рандом от 0 до 5;200;185849;
рандом от 0 до 5;200;256723;
рандом от 0 до 5;200;7334;
рандом от 0 до 5;200;31718;
