type;number of algorithm;size;time;
рандом от 0 до 5_2;10;2700;13901672;
рандом от 0 до 5_2;11;2700;207236;
рандом от 0 до 5_2;12;2700;284885;
рандом от 0 до 5_2;0;2800;7261850;
рандом от 0 до 5_2;1;2800;40439612;
рандом от 0 до 5_2;2;2800;39450575;
рандом от 0 до 5_2;3;2800;43608485;
рандом от 0 до 5_2;4;2800;95191;
рандом от 0 до 5_2;5;2800;615378;
рандом от 0 до 5_2;6;2800;7963577;
рандом от 0 до 5_2;7;2800;580882;
рандом от 0 до 5_2;8;2800;1748471;
рандом от 0 до 5_2;9;2800;46899;
рандом от 0 до 5_2;10;2800;15072381;
рандом от 0 до 5_2;11;2800;223384;
рандом от 0 до 5_2;12;2800;290585;
рандом от 0 до 5_2;0;2900;7910625;
рандом от 0 до 5_2;1;2900;43694831;
рандом от 0 до 5_2;2;2900;43581039;
рандом от 0 до 5_2;3;2900;46150761;
рандом от 0 до 5_2;4;2900;98613;
рандом от 0 до 5_2;5;2900;644013;
рандом от 0 до 5_2;6;2900;8344266;
рандом от 0 до 5_2;7;2900;596636;
рандом от 0 до 5_2;8;2900;1842693;
рандом от 0 до 5_2;9;2900;47905;
рандом от 0 до 5_2;10;2900;15215787;
рандом от 0 до 5_2;11;2900;239363;
рандом от 0 до 5_2;12;2900;287736;
рандом от 0 до 5_2;0;3000;8960053;
рандом от 0 до 5_2;1;3000;46325691;
рандом от 0 до 5_2;2;3000;47380669;
рандом от 0 до 5_2;3;3000;50652617;
рандом от 0 до 5_2;4;3000;102005;
рандом от 0 до 5_2;5;3000;601522;
рандом от 0 до 5_2;6;3000;9283586;
рандом от 0 до 5_2;7;3000;397092;
рандом от 0 до 5_2;8;3000;2194533;
рандом от 0 до 5_2;9;3000;49497;
рандом от 0 до 5_2;10;3000;16360605;
рандом от 0 до 5_2;11;3000;276036;
рандом от 0 до 5_2;12;3000;298805;
рандом от 0 до 5_2;0;3100;9149150;
рандом от 0 до 5_2;1;3100;50640068;
рандом от 0 до 5_2;2;3100;48809979;
рандом от 0 до 5_2;3;3100;54628136;
рандом от 0 до 5_2;4;3100;103967;
рандом от 0 до 5_2;5;3100;865442;
рандом от 0 до 5_2;6;3100;9987877;
рандом от 0 до 5_2;7;3100;455374;
рандом от 0 до 5_2;8;3100;2216095;
рандом от 0 до 5_2;9;3100;50781;
рандом от 0 до 5_2;10;3100;17803234;
рандом от 0 до 5_2;11;3100;295378;
рандом от 0 до 5_2;12;3100;309040;
рандом от 0 до 5_2;0;3200;9572211;
рандом от 0 до 5_2;1;3200;52925730;
рандом от 0 до 5_2;2;3200;51880093;
рандом от 0 до 5_2;3;3200;58748852;
рандом от 0 до 5_2;4;3200;105003;
рандом от 0 до 5_2;5;3200;767863;
рандом от 0 до 5_2;6;3200;10440280;
рандом от 0 до 5_2;7;3200;440338;
рандом от 0 до 5_2;8;3200;2408836;
рандом от 0 до 5_2;9;3200;50836;
рандом от 0 до 5_2;10;3200;18702876;
рандом от 0 до 5_2;11;3200;249780;
рандом от 0 до 5_2;12;3200;397429;
рандом от 0 до 5_2;0;3300;10099023;
рандом от 0 до 5_2;1;3300;56059542;
рандом от 0 до 5_2;2;3300;57059621;
рандом от 0 до 5_2;3;3300;65486488;
рандом от 0 до 5_2;4;3300;107507;
рандом от 0 до 5_2;5;3300;701381;
рандом от 0 до 5_2;6;3300;11237966;
рандом от 0 до 5_2;7;3300;442156;
рандом от 0 до 5_2;8;3300;2460381;
рандом от 0 до 5_2;9;3300;67659;
рандом от 0 до 5_2;10;3300;19574606;
рандом от 0 до 5_2;11;3300;259618;
рандом от 0 до 5_2;12;3300;305295;
рандом от 0 до 5_2;0;3400;11467139;
рандом от 0 до 5_2;1;3400;59156082;
рандом от 0 до 5_2;2;3400;61825732;
рандом от 0 до 5_2;3;3400;68277750;
рандом от 0 до 5_2;4;3400;113191;
рандом от 0 до 5_2;5;3400;907865;
рандом от 0 до 5_2;6;3400;11634076;
рандом от 0 до 5_2;7;3400;721350;
рандом от 0 до 5_2;8;3400;2543147;
рандом от 0 до 5_2;9;3400;54548;
рандом от 0 до 5_2;10;3400;23942711;
рандом от 0 до 5_2;11;3400;280075;
рандом от 0 до 5_2;12;3400;346249;
рандом от 0 до 5_2;0;3500;11779990;
рандом от 0 до 5_2;1;3500;66483536;
рандом от 0 до 5_2;2;3500;72993719;
рандом от 0 до 5_2;3;3500;80127870;
рандом от 0 до 5_2;4;3500;125037;
рандом от 0 до 5_2;5;3500;932160;
рандом от 0 до 5_2;6;3500;13900713;
рандом от 0 до 5_2;7;3500;666070;
рандом от 0 до 5_2;8;3500;3675329;
рандом от 0 до 5_2;9;3500;66460;
рандом от 0 до 5_2;10;3500;27404641;
рандом от 0 до 5_2;11;3500;317426;
рандом от 0 до 5_2;12;3500;353843;
рандом от 0 до 5_2;0;3600;12837183;
рандом от 0 до 5_2;1;3600;67704762;
рандом от 0 до 5_2;2;3600;68451680;
рандом от 0 до 5_2;3;3600;73189620;
рандом от 0 до 5_2;4;3600;118970;
рандом от 0 до 5_2;5;3600;733870;
рандом от 0 до 5_2;6;3600;13366159;
рандом от 0 до 5_2;7;3600;483098;
рандом от 0 до 5_2;8;3600;3099535;
рандом от 0 до 5_2;9;3600;57192;
рандом от 0 до 5_2;10;3600;24002382;
рандом от 0 до 5_2;11;3600;315047;
рандом от 0 до 5_2;12;3600;378545;
рандом от 0 до 5_2;0;3700;12765862;
рандом от 0 до 5_2;1;3700;69830254;
рандом от 0 до 5_2;2;3700;77915963;
рандом от 0 до 5_2;3;3700;82940849;
рандом от 0 до 5_2;4;3700;126901;
рандом от 0 до 5_2;5;3700;1043391;
рандом от 0 до 5_2;6;3700;14345260;
рандом от 0 до 5_2;7;3700;580865;
рандом от 0 до 5_2;8;3700;3740585;
рандом от 0 до 5_2;9;3700;59451;
рандом от 0 до 5_2;10;3700;24869248;
рандом от 0 до 5_2;11;3700;306831;
рандом от 0 до 5_2;12;3700;353323;
рандом от 0 до 5_2;0;3800;13654237;
рандом от 0 до 5_2;1;3800;75248736;
рандом от 0 до 5_2;2;3800;75487719;
рандом от 0 до 5_2;3;3800;79872316;
рандом от 0 до 5_2;4;3800;126941;
рандом от 0 до 5_2;5;3800;1044934;
рандом от 0 до 5_2;6;3800;14364184;
рандом от 0 до 5_2;7;3800;508226;
рандом от 0 до 5_2;8;3800;3596221;
рандом от 0 до 5_2;9;3800;75799;
рандом от 0 до 5_2;10;3800;27602023;
рандом от 0 до 5_2;11;3800;310560;
рандом от 0 до 5_2;12;3800;396616;
рандом от 0 до 5_2;0;3900;14274787;
рандом от 0 до 5_2;1;3900;78105811;
рандом от 0 до 5_2;2;3900;79559965;
рандом от 0 до 5_2;3;3900;84217442;
рандом от 0 до 5_2;4;3900;127870;
рандом от 0 до 5_2;5;3900;866686;
рандом от 0 до 5_2;6;3900;15185401;
рандом от 0 до 5_2;7;3900;550762;
рандом от 0 до 5_2;8;3900;3806176;
рандом от 0 до 5_2;9;3900;60625;
рандом от 0 до 5_2;10;3900;27475317;
рандом от 0 до 5_2;11;3900;322364;
рандом от 0 до 5_2;12;3900;378321;
рандом от 0 до 5_2;0;4000;15529059;
рандом от 0 до 5_2;1;4000;84218879;
рандом от 0 до 5_2;2;4000;82647648;
рандом от 0 до 5_2;3;4000;90032944;
рандом от 0 до 5_2;4;4000;132788;
рандом от 0 до 5_2;5;4000;834467;
рандом от 0 до 5_2;6;4000;16101823;
рандом от 0 до 5_2;7;4000;559845;
рандом от 0 до 5_2;8;4000;3587378;
рандом от 0 до 5_2;9;4000;63480;
рандом от 0 до 5_2;10;4000;29809167;
рандом от 0 до 5_2;11;4000;333043;
рандом от 0 до 5_2;12;4000;441634;
рандом от 0 до 5_2;0;4100;15968532;
рандом от 0 до 5_2;1;4100;88812229;
рандом от 0 до 5_2;2;4100;87554405;
рандом от 0 до 5_2;3;4100;93494339;
рандом от 0 до 5_2;4;4100;134140;
рандом от 0 до 5_2;5;4100;1018924;
рандом от 0 до 5_2;6;4100;19660558;
рандом от 0 до 5_2;7;4100;807734;
рандом от 0 до 5_2;8;4100;6304785;
рандом от 0 до 5_2;9;4100;91034;
рандом от 0 до 5_2;10;4100;39248457;
рандом от 0 до 5_2;11;4100;518931;
рандом от 0 до 5_2;12;4100;688169;
рандом от 0 до 4000_2;0;100;16281;
рандом от 0 до 4000_2;1;100;57180;
рандом от 0 до 4000_2;2;100;48222;
рандом от 0 до 4000_2;3;100;49276;
рандом от 0 до 4000_2;4;100;4120;
рандом от 0 до 4000_2;5;100;11875;
рандом от 0 до 4000_2;6;100;13450;
рандом от 0 до 4000_2;7;100;9362;
рандом от 0 до 4000_2;8;100;6684;
рандом от 0 до 4000_2;9;100;2518;
рандом от 0 до 4000_2;10;100;25134;
рандом от 0 до 4000_2;11;100;7105;
рандом от 0 до 4000_2;12;100;7809;
рандом от 0 до 4000_2;0;200;79708;
рандом от 0 до 4000_2;1;200;239810;
рандом от 0 до 4000_2;2;200;169300;
рандом от 0 до 4000_2;3;200;223308;
рандом от 0 до 4000_2;4;200;11295;
рандом от 0 до 4000_2;5;200;25233;
рандом от 0 до 4000_2;6;200;47402;
рандом от 0 до 4000_2;7;200;21291;
рандом от 0 до 4000_2;8;200;17773;
рандом от 0 до 4000_2;9;200;4290;
рандом от 0 до 4000_2;10;200;85570;
рандом от 0 до 4000_2;11;200;14371;
рандом от 0 до 4000_2;12;200;14241;
рандом от 0 до 4000_2;0;300;101227;
рандом от 0 до 4000_2;1;300;446218;
рандом от 0 до 4000_2;2;300;449318;
рандом от 0 до 4000_2;3;300;501786;
рандом от 0 до 4000_2;4;300;11471;
рандом от 0 до 4000_2;5;300;42561;
рандом от 0 до 4000_2;6;300;99524;
рандом от 0 до 4000_2;7;300;35695;
рандом от 0 до 4000_2;8;300;34784;
рандом от 0 до 4000_2;9;300;5966;
рандом от 0 до 4000_2;10;300;178713;
рандом от 0 до 4000_2;11;300;18505;
рандом от 0 до 4000_2;12;300;22605;
рандом от 0 до 4000_2;0;400;157241;
рандом от 0 до 4000_2;1;400;768861;
рандом от 0 до 4000_2;2;400;779847;
рандом от 0 до 4000_2;3;400;829047;
рандом от 0 до 4000_2;4;400;22530;
рандом от 0 до 4000_2;5;400;59118;
рандом от 0 до 4000_2;6;400;176769;
рандом от 0 до 4000_2;7;400;45097;
рандом от 0 до 4000_2;8;400;52930;
рандом от 0 до 4000_2;9;400;7685;
рандом от 0 до 4000_2;10;400;311615;
рандом от 0 до 4000_2;11;400;24613;
рандом от 0 до 4000_2;12;400;32631;
рандом от 0 до 4000_2;0;500;242094;
рандом от 0 до 4000_2;1;500;1165484;
рандом от 0 до 4000_2;2;500;1125990;
рандом от 0 до 4000_2;3;500;1590382;
рандом от 0 до 4000_2;4;500;32829;
рандом от 0 до 4000_2;5;500;131090;
рандом от 0 до 4000_2;6;500;263769;
рандом от 0 до 4000_2;7;500;56800;
рандом от 0 до 4000_2;8;500;80399;
рандом от 0 до 4000_2;9;500;9353;
рандом от 0 до 4000_2;10;500;478271;
рандом от 0 до 4000_2;11;500;31532;
рандом от 0 до 4000_2;12;500;42279;
рандом от 0 до 4000_2;0;600;343692;
рандом от 0 до 4000_2;1;600;1702075;
рандом от 0 до 4000_2;2;600;2368607;
рандом от 0 до 4000_2;3;600;1954059;
рандом от 0 до 4000_2;4;600;21852;
рандом от 0 до 4000_2;5;600;104553;
рандом от 0 до 4000_2;6;600;372425;
рандом от 0 до 4000_2;7;600;73218;
рандом от 0 до 4000_2;8;600;110265;
рандом от 0 до 4000_2;9;600;10993;
рандом от 0 до 4000_2;10;600;714331;
рандом от 0 до 4000_2;11;600;43637;
рандом от 0 до 4000_2;12;600;52550;
рандом от 0 до 4000_2;0;700;472934;
рандом от 0 до 4000_2;1;700;2385779;
рандом от 0 до 4000_2;2;700;2254727;
рандом от 0 до 4000_2;3;700;2770628;
рандом от 0 до 4000_2;4;700;46770;
рандом от 0 до 4000_2;5;700;202292;
рандом от 0 до 4000_2;6;700;931085;
рандом от 0 до 4000_2;7;700;127678;
рандом от 0 до 4000_2;8;700;263643;
рандом от 0 до 4000_2;9;700;23952;
рандом от 0 до 4000_2;10;700;1440857;
рандом от 0 до 4000_2;11;700;72229;
рандом от 0 до 4000_2;12;700;111830;
рандом от 0 до 4000_2;0;800;759292;
рандом от 0 до 4000_2;1;800;3902333;
рандом от 0 до 4000_2;2;800;3889230;
рандом от 0 до 4000_2;3;800;3386969;
рандом от 0 до 4000_2;4;800;28910;
рандом от 0 до 4000_2;5;800;143729;
рандом от 0 до 4000_2;6;800;662758;
рандом от 0 до 4000_2;7;800;111964;
рандом от 0 до 4000_2;8;800;194863;
рандом от 0 до 4000_2;9;800;14416;
рандом от 0 до 4000_2;10;800;1230914;
рандом от 0 до 4000_2;11;800;54149;
рандом от 0 до 4000_2;12;800;75328;
рандом от 0 до 4000_2;0;900;770091;
рандом от 0 до 4000_2;1;900;4058418;
рандом от 0 до 4000_2;2;900;4619754;
рандом от 0 до 4000_2;3;900;4433307;
рандом от 0 до 4000_2;4;900;29762;
рандом от 0 до 4000_2;5;900;158170;
рандом от 0 до 4000_2;6;900;890636;
рандом от 0 до 4000_2;7;900;109622;
рандом от 0 до 4000_2;8;900;239046;
рандом от 0 до 4000_2;9;900;25335;
рандом от 0 до 4000_2;10;900;1545335;
рандом от 0 до 4000_2;11;900;67695;
рандом от 0 до 4000_2;12;900;85557;
рандом от 0 до 4000_2;0;1000;996245;
рандом от 0 до 4000_2;1;1000;5441589;
рандом от 0 до 4000_2;2;1000;6128591;
рандом от 0 до 4000_2;3;1000;5431976;
рандом от 0 до 4000_2;4;1000;36134;
рандом от 0 до 4000_2;5;1000;193580;
рандом от 0 до 4000_2;6;1000;1054891;
рандом от 0 до 4000_2;7;1000;129336;
рандом от 0 до 4000_2;8;1000;286436;
рандом от 0 до 4000_2;9;1000;18783;
рандом от 0 до 4000_2;10;1000;2405930;
рандом от 0 до 4000_2;11;1000;68461;
рандом от 0 до 4000_2;12;1000;86012;
рандом от 0 до 4000_2;0;1100;1228891;
рандом от 0 до 4000_2;1;1100;6140038;
рандом от 0 до 4000_2;2;1100;6118280;
рандом от 0 до 4000_2;3;1100;7478808;
рандом от 0 до 4000_2;4;1100;47884;
рандом от 0 до 4000_2;5;1100;215886;
рандом от 0 до 4000_2;6;1100;1289803;
рандом от 0 до 4000_2;7;1100;155551;
рандом от 0 до 4000_2;8;1100;388482;
рандом от 0 до 4000_2;9;1100;17982;
рандом от 0 до 4000_2;10;1100;2262135;
рандом от 0 до 4000_2;11;1100;78542;
рандом от 0 до 4000_2;12;1100;107739;
рандом от 0 до 4000_2;0;1200;1754484;
рандом от 0 до 4000_2;1;1200;7480177;
рандом от 0 до 4000_2;2;1200;6685338;
рандом от 0 до 4000_2;3;1200;7649192;
рандом от 0 до 4000_2;4;1200;41039;
рандом от 0 до 4000_2;5;1200;236122;
рандом от 0 до 4000_2;6;1200;1436932;
рандом от 0 до 4000_2;7;1200;144804;
рандом от 0 до 4000_2;8;1200;351266;
рандом от 0 до 4000_2;9;1200;19303;
рандом от 0 до 4000_2;10;1200;2712316;
рандом от 0 до 4000_2;11;1200;83456;
рандом от 0 до 4000_2;12;1200;107738;
рандом от 0 до 4000_2;0;1300;1543126;
рандом от 0 до 4000_2;1;1300;8081519;
рандом от 0 до 4000_2;2;1300;8189944;
рандом от 0 до 4000_2;3;1300;9053378;
рандом от 0 до 4000_2;4;1300;42614;
рандом от 0 до 4000_2;5;1300;260013;
рандом от 0 до 4000_2;6;1300;1705900;
рандом от 0 до 4000_2;7;1300;181517;
рандом от 0 до 4000_2;8;1300;406961;
рандом от 0 до 4000_2;9;1300;21210;
рандом от 0 до 4000_2;10;1300;2992785;
рандом от 0 до 4000_2;11;1300;92704;
рандом от 0 до 4000_2;12;1300;115166;
рандом от 0 до 4000_2;0;1400;1737587;
рандом от 0 до 4000_2;1;1400;9527374;
рандом от 0 до 4000_2;2;1400;9823047;
рандом от 0 до 4000_2;3;1400;10933996;
рандом от 0 до 4000_2;4;1400;45797;
рандом от 0 до 4000_2;5;1400;292244;
рандом от 0 до 4000_2;6;1400;1987219;
рандом от 0 до 4000_2;7;1400;224869;
рандом от 0 до 4000_2;8;1400;543386;
рандом от 0 до 4000_2;9;1400;22187;
рандом от 0 до 4000_2;10;1400;3508375;
рандом от 0 до 4000_2;11;1400;106757;
рандом от 0 до 4000_2;12;1400;128976;
рандом от 0 до 4000_2;0;1500;2208270;
рандом от 0 до 4000_2;1;1500;11123540;
рандом от 0 до 4000_2;2;1500;11113794;
рандом от 0 до 4000_2;3;1500;11708709;
рандом от 0 до 4000_2;4;1500;49098;
рандом от 0 до 4000_2;5;1500;496245;
рандом от 0 до 4000_2;6;1500;2152521;
рандом от 0 до 4000_2;7;1500;189536;
рандом от 0 до 4000_2;8;1500;544883;
рандом от 0 до 4000_2;9;1500;47956;
рандом от 0 до 4000_2;10;1500;4561501;
рандом от 0 до 4000_2;11;1500;112828;
рандом от 0 до 4000_2;12;1500;125915;
рандом от 0 до 4000_2;0;1600;2314784;
рандом от 0 до 4000_2;1;1600;12694319;
рандом от 0 до 4000_2;2;1600;12711787;
рандом от 0 до 4000_2;3;1600;13560311;
рандом от 0 до 4000_2;4;1600;54451;
рандом от 0 до 4000_2;5;1600;302948;
рандом от 0 до 4000_2;6;1600;2457951;
рандом от 0 до 4000_2;7;1600;201526;
рандом от 0 до 4000_2;8;1600;612784;
рандом от 0 до 4000_2;9;1600;26578;
рандом от 0 до 4000_2;10;1600;5092894;
рандом от 0 до 4000_2;11;1600;125453;
рандом от 0 до 4000_2;12;1600;168113;
рандом от 0 до 4000_2;0;1700;2833253;
рандом от 0 до 4000_2;1;1700;14702072;
рандом от 0 до 4000_2;2;1700;14438131;
рандом от 0 до 4000_2;3;1700;15792134;
рандом от 0 до 4000_2;4;1700;62377;
рандом от 0 до 4000_2;5;1700;420232;
рандом от 0 до 4000_2;6;1700;2898845;
рандом от 0 до 4000_2;7;1700;214618;
рандом от 0 до 4000_2;8;1700;912330;
рандом от 0 до 4000_2;9;1700;26493;
рандом от 0 до 4000_2;10;1700;5239832;
рандом от 0 до 4000_2;11;1700;130826;
рандом от 0 до 4000_2;12;1700;156706;
рандом от 0 до 4000_2;0;1800;3084145;
рандом от 0 до 4000_2;1;1800;16496075;
рандом от 0 до 4000_2;2;1800;16162640;
рандом от 0 до 4000_2;3;1800;17501299;
рандом от 0 до 4000_2;4;1800;60533;
рандом от 0 до 4000_2;5;1800;383183;
рандом от 0 до 4000_2;6;1800;3323132;
рандом от 0 до 4000_2;7;1800;223377;
рандом от 0 до 4000_2;8;1800;769223;
рандом от 0 до 4000_2;9;1800;31122;
рандом от 0 до 4000_2;10;1800;5955653;
рандом от 0 до 4000_2;11;1800;142884;
рандом от 0 до 4000_2;12;1800;168689;
рандом от 0 до 4000_2;0;1900;3534778;
рандом от 0 до 4000_2;1;1900;18145171;
рандом от 0 до 4000_2;2;1900;17778550;
рандом от 0 до 4000_2;3;1900;19654423;
рандом от 0 до 4000_2;4;1900;65009;
рандом от 0 до 4000_2;5;1900;369824;
рандом от 0 до 4000_2;6;1900;3633785;
рандом от 0 до 4000_2;7;1900;252158;
рандом от 0 до 4000_2;8;1900;1028108;
рандом от 0 до 4000_2;9;1900;31727;
рандом от 0 до 4000_2;10;1900;6508207;
рандом от 0 до 4000_2;11;1900;144088;
рандом от 0 до 4000_2;12;1900;174824;
рандом от 0 до 4000_2;0;2000;3799897;
рандом от 0 до 4000_2;1;2000;20173972;
рандом от 0 до 4000_2;2;2000;21309987;
рандом от 0 до 4000_2;3;2000;22406535;
рандом от 0 до 4000_2;4;2000;67994;
рандом от 0 до 4000_2;5;2000;411912;
рандом от 0 до 4000_2;6;2000;4880279;
рандом от 0 до 4000_2;7;2000;254831;
рандом от 0 до 4000_2;8;2000;966763;
рандом от 0 до 4000_2;9;2000;45865;
рандом от 0 до 4000_2;10;2000;7050416;
рандом от 0 до 4000_2;11;2000;153008;
рандом от 0 до 4000_2;12;2000;187017;
рандом от 0 до 4000_2;0;2100;4725263;
рандом от 0 до 4000_2;1;2100;23652150;
рандом от 0 до 4000_2;2;2100;21839807;
рандом от 0 до 4000_2;3;2100;23947960;
рандом от 0 до 4000_2;4;2100;72587;
рандом от 0 до 4000_2;5;2100;407395;
рандом от 0 до 4000_2;6;2100;4592462;
рандом от 0 до 4000_2;7;2100;268710;
рандом от 0 до 4000_2;8;2100;1111189;
рандом от 0 до 4000_2;9;2100;34922;
рандом от 0 до 4000_2;10;2100;8066736;
рандом от 0 до 4000_2;11;2100;163944;
рандом от 0 до 4000_2;12;2100;213323;
рандом от 0 до 4000_2;0;2200;4782059;
рандом от 0 до 4000_2;1;2200;24691793;
рандом от 0 до 4000_2;2;2200;24475907;
рандом от 0 до 4000_2;3;2200;26677729;
рандом от 0 до 4000_2;4;2200;77526;
рандом от 0 до 4000_2;5;2200;408195;
рандом от 0 до 4000_2;6;2200;5188712;
рандом от 0 до 4000_2;7;2200;341060;
рандом от 0 до 4000_2;8;2200;1249297;
рандом от 0 до 4000_2;9;2200;40223;
рандом от 0 до 4000_2;10;2200;8990422;
рандом от 0 до 4000_2;11;2200;171430;
рандом от 0 до 4000_2;12;2200;213364;
рандом от 0 до 4000_2;0;2300;4940760;
рандом от 0 до 4000_2;1;2300;26933707;
рандом от 0 до 4000_2;2;2300;26658282;
рандом от 0 до 4000_2;3;2300;28388104;
рандом от 0 до 4000_2;4;2300;79075;
рандом от 0 до 4000_2;5;2300;448379;
рандом от 0 до 4000_2;6;2300;5460098;
рандом от 0 до 4000_2;7;2300;301077;
рандом от 0 до 4000_2;8;2300;1326113;
рандом от 0 до 4000_2;9;2300;38303;
рандом от 0 до 4000_2;10;2300;9767367;
рандом от 0 до 4000_2;11;2300;177681;
рандом от 0 до 4000_2;12;2300;224813;
рандом от 0 до 4000_2;0;2400;5548096;
рандом от 0 до 4000_2;1;2400;29079116;
рандом от 0 до 4000_2;2;2400;29275747;
рандом от 0 до 4000_2;3;2400;31418149;
рандом от 0 до 4000_2;4;2400;89291;
рандом от 0 до 4000_2;5;2400;545831;
рандом от 0 до 4000_2;6;2400;5830545;
рандом от 0 до 4000_2;7;2400;328688;
рандом от 0 до 4000_2;8;2400;1285914;
рандом от 0 до 4000_2;9;2400;47967;
рандом от 0 до 4000_2;10;2400;10498955;
рандом от 0 до 4000_2;11;2400;193013;
рандом от 0 до 4000_2;12;2400;252621;
рандом от 0 до 4000_2;0;2500;5972718;
рандом от 0 до 4000_2;1;2500;35196489;
рандом от 0 до 4000_2;2;2500;32245471;
рандом от 0 до 4000_2;3;2500;33532865;
рандом от 0 до 4000_2;4;2500;84924;
рандом от 0 до 4000_2;5;2500;499100;
рандом от 0 до 4000_2;6;2500;6216773;
рандом от 0 до 4000_2;7;2500;328764;
рандом от 0 до 4000_2;8;2500;1617780;
рандом от 0 до 4000_2;9;2500;41946;
рандом от 0 до 4000_2;10;2500;11382300;
рандом от 0 до 4000_2;11;2500;207873;
рандом от 0 до 4000_2;12;2500;254836;
рандом от 0 до 4000_2;0;2600;6392630;
рандом от 0 до 4000_2;1;2600;34623580;
рандом от 0 до 4000_2;2;2600;34205826;
рандом от 0 до 4000_2;3;2600;36891350;
рандом от 0 до 4000_2;4;2600;88339;
рандом от 0 до 4000_2;5;2600;714454;
рандом от 0 до 4000_2;6;2600;6835580;
рандом от 0 до 4000_2;7;2600;343494;
рандом от 0 до 4000_2;8;2600;1557903;
рандом от 0 до 4000_2;9;2600;42597;
рандом от 0 до 4000_2;10;2600;12578111;
рандом от 0 до 4000_2;11;2600;205735;
рандом от 0 до 4000_2;12;2600;257905;
рандом от 0 до 4000_2;0;2700;7099083;
рандом от 0 до 4000_2;1;2700;37229742;
рандом от 0 до 4000_2;2;2700;36535597;
рандом от 0 до 4000_2;3;2700;39954623;
рандом от 0 до 4000_2;4;2700;118386;
рандом от 0 до 4000_2;5;2700;601989;
рандом от 0 до 4000_2;6;2700;7571184;
рандом от 0 до 4000_2;7;2700;354541;
рандом от 0 до 4000_2;8;2700;1822206;
рандом от 0 до 4000_2;9;2700;45697;
рандом от 0 до 4000_2;10;2700;13278214;
рандом от 0 до 4000_2;11;2700;217494;
рандом от 0 до 4000_2;12;2700;265535;
рандом от 0 до 4000_2;0;2800;7611859;
рандом от 0 до 4000_2;1;2800;40129303;
рандом от 0 до 4000_2;2;2800;39942573;
рандом от 0 до 4000_2;3;2800;42704731;
рандом от 0 до 4000_2;4;2800;100888;
рандом от 0 до 4000_2;5;2800;550226;
рандом от 0 до 4000_2;6;2800;8304672;
рандом от 0 до 4000_2;7;2800;376232;
рандом от 0 до 4000_2;8;2800;1797745;
рандом от 0 до 4000_2;9;2800;47753;
рандом от 0 до 4000_2;10;2800;14096765;
рандом от 0 до 4000_2;11;2800;227593;
рандом от 0 до 4000_2;12;2800;285649;
рандом от 0 до 4000_2;0;2900;8283058;
рандом от 0 до 4000_2;1;2900;42880761;
рандом от 0 до 4000_2;2;2900;42782622;
рандом от 0 до 4000_2;3;2900;46889627;
рандом от 0 до 4000_2;4;2900;97226;
рандом от 0 до 4000_2;5;2900;802056;
рандом от 0 до 4000_2;6;2900;8563592;
рандом от 0 до 4000_2;7;2900;387224;
рандом от 0 до 4000_2;8;2900;2076769;
рандом от 0 до 4000_2;9;2900;48091;
рандом от 0 до 4000_2;10;2900;15298810;
рандом от 0 до 4000_2;11;2900;233025;
рандом от 0 до 4000_2;12;2900;278620;
рандом от 0 до 4000_2;0;3000;8798606;
рандом от 0 до 4000_2;1;3000;46136012;
рандом от 0 до 4000_2;2;3000;45911017;
рандом от 0 до 4000_2;3;3000;49798844;
рандом от 0 до 4000_2;4;3000;101705;
рандом от 0 до 4000_2;5;3000;622855;
рандом от 0 до 4000_2;6;3000;9442958;
рандом от 0 до 4000_2;7;3000;398968;
рандом от 0 до 4000_2;8;3000;2259485;
рандом от 0 до 4000_2;9;3000;49586;
рандом от 0 до 4000_2;10;3000;16460398;
рандом от 0 до 4000_2;11;3000;243106;
рандом от 0 до 4000_2;12;3000;329852;
рандом от 0 до 4000_2;0;3100;9338384;
рандом от 0 до 4000_2;1;3100;49682678;
рандом от 0 до 4000_2;2;3100;49248206;
рандом от 0 до 4000_2;3;3100;52811029;
рандом от 0 до 4000_2;4;3100;104490;
рандом от 0 до 4000_2;5;3100;652425;
рандом от 0 до 4000_2;6;3100;10189656;
рандом от 0 до 4000_2;7;3100;416181;
рандом от 0 до 4000_2;8;3100;2146401;
рандом от 0 до 4000_2;9;3100;70199;
рандом от 0 до 4000_2;10;3100;18649316;
рандом от 0 до 4000_2;11;3100;253708;
рандом от 0 до 4000_2;12;3100;316342;
рандом от 0 до 4000_2;0;3200;10170196;
рандом от 0 до 4000_2;1;3200;52551565;
рандом от 0 до 4000_2;2;3200;52191385;
рандом от 0 до 4000_2;3;3200;56957944;
рандом от 0 до 4000_2;4;3200;104584;
рандом от 0 до 4000_2;5;3200;615609;
рандом от 0 до 4000_2;6;3200;10653976;
рандом от 0 до 4000_2;7;3200;425802;
рандом от 0 до 4000_2;8;3200;2440450;
рандом от 0 до 4000_2;9;3200;52204;
рандом от 0 до 4000_2;10;3200;18733540;
рандом от 0 до 4000_2;11;3200;263001;
рандом от 0 до 4000_2;12;3200;349327;
рандом от 0 до 4000_2;0;3300;10687972;
рандом от 0 до 4000_2;1;3300;57012220;
рандом от 0 до 4000_2;2;3300;55866922;
рандом от 0 до 4000_2;3;3300;60266747;
рандом от 0 до 4000_2;4;3300;107314;
рандом от 0 до 4000_2;5;3300;645752;
рандом от 0 до 4000_2;6;3300;11021461;
рандом от 0 до 4000_2;7;3300;588110;
