type;number of algorithm;size;time;
рандом от 0 до 4000_1;0;250;140728;
рандом от 0 до 4000_1;1;250;418838;
рандом от 0 до 4000_1;2;250;586591;
рандом от 0 до 4000_1;3;250;415519;
рандом от 0 до 4000_1;4;250;10848;
рандом от 0 до 4000_1;5;250;40569;
рандом от 0 до 4000_1;6;250;94423;
рандом от 0 до 4000_1;7;250;30671;
рандом от 0 до 4000_1;8;250;40878;
рандом от 0 до 4000_1;9;250;5757;
рандом от 0 до 4000_1;10;250;150529;
рандом от 0 до 4000_1;11;250;17124;
рандом от 0 до 4000_1;12;250;17895;
рандом от 0 до 4000_1;0;300;124083;
рандом от 0 до 4000_1;1;300;613199;
рандом от 0 до 4000_1;2;300;451675;
рандом от 0 до 4000_1;3;300;485995;
рандом от 0 до 4000_1;4;300;13126;
рандом от 0 до 4000_1;5;300;48721;
рандом от 0 до 4000_1;6;300;114545;
рандом от 0 до 4000_1;7;300;41851;
рандом от 0 до 4000_1;8;300;39591;
рандом от 0 до 4000_1;9;300;6662;
рандом от 0 до 4000_1;10;300;305698;
рандом от 0 до 4000_1;11;300;29506;
рандом от 0 до 4000_1;12;300;35743;
почти отсортирован_1;0;50;3603;
почти отсортирован_1;1;50;10038;
почти отсортирован_1;2;50;29448;
почти отсортирован_1;3;50;473;
почти отсортирован_1;4;50;5375;
почти отсортирован_1;5;50;9858;
почти отсортирован_1;6;50;632;
почти отсортирован_1;7;50;6561;
почти отсортирован_1;8;50;31090;
почти отсортирован_1;9;50;2104;
почти отсортирован_1;10;50;5961;
почти отсортирован_1;11;50;1377;
почти отсортирован_1;12;50;1656;
почти отсортирован_1;0;100;5798;
почти отсортирован_1;1;100;24657;
почти отсортирован_1;2;100;66891;
почти отсортирован_1;3;100;556;
почти отсортирован_1;4;100;7616;
почти отсортирован_1;5;100;16226;
почти отсортирован_1;6;100;1307;
почти отсортирован_1;7;100;11222;
почти отсортирован_1;8;100;78455;
почти отсортирован_1;9;100;9960;
почти отсортирован_1;10;100;25831;
почти отсортирован_1;11;100;2921;
почти отсортирован_1;12;100;3660;
почти отсортирован_1;0;150;8944;
почти отсортирован_1;1;150;55515;
почти отсортирован_1;2;150;261369;
почти отсортирован_1;3;150;1238;
почти отсортирован_1;4;150;14850;
почти отсортирован_1;5;150;39600;
почти отсортирован_1;6;150;1847;
почти отсортирован_1;7;150;25114;
почти отсортирован_1;8;150;185549;
почти отсортирован_1;9;150;4182;
почти отсортирован_1;10;150;49021;
почти отсортирован_1;11;150;4908;
почти отсортирован_1;12;150;6525;
почти отсортирован_1;0;200;11786;
почти отсортирован_1;1;200;112497;
почти отсортирован_1;2;200;420085;
почти отсортирован_1;3;200;1067;
почти отсортирован_1;4;200;10749;
почти отсортирован_1;5;200;40957;
почти отсортирован_1;6;200;1510;
почти отсортирован_1;7;200;26499;
почти отсортирован_1;8;200;251339;
почти отсортирован_1;9;200;5292;
почти отсортирован_1;10;200;104916;
почти отсортирован_1;11;200;6645;
почти отсортирован_1;12;200;8544;
почти отсортирован_1;0;250;15571;
почти отсортирован_1;1;250;150942;
почти отсортирован_1;2;250;477141;
почти отсортирован_1;3;250;5499;
почти отсортирован_1;4;250;44649;
почти отсортирован_1;5;250;100527;
почти отсортирован_1;6;250;3513;
почти отсортирован_1;7;250;45329;
почти отсортирован_1;8;250;729936;
почти отсортирован_1;9;250;20298;
почти отсортирован_1;10;250;379509;
почти отсортирован_1;11;250;18629;
почти отсортирован_1;12;250;51643;
почти отсортирован_1;0;300;51664;
почти отсортирован_1;1;300;402907;
почти отсортирован_1;2;300;1131820;
почти отсортирован_1;3;300;6905;
почти отсортирован_1;4;300;27798;
почти отсортирован_1;5;300;78887;
почти отсортирован_1;6;300;2717;
почти отсортирован_1;7;300;39542;
почти отсортирован_1;8;300;626375;
почти отсортирован_1;9;300;14389;
почти отсортирован_1;10;300;204874;
почти отсортирован_1;11;300;13292;
почти отсортирован_1;12;300;16825;
обратно отсортирован_1;0;50;7917;
обратно отсортирован_1;1;50;16655;
обратно отсортирован_1;2;50;292;
обратно отсортирован_1;3;50;18708;
обратно отсортирован_1;4;50;3325;
обратно отсортирован_1;5;50;4977;
обратно отсортирован_1;6;50;11441;
обратно отсортирован_1;7;50;6021;
обратно отсортирован_1;8;50;14979;
обратно отсортирован_1;9;50;9632;
обратно отсортирован_1;10;50;12107;
обратно отсортирован_1;11;50;3923;
обратно отсортирован_1;12;50;4078;
обратно отсортирован_1;0;100;48906;
обратно отсортирован_1;1;100;133309;
обратно отсортирован_1;2;100;971;
обратно отсортирован_1;3;100;141560;
обратно отсортирован_1;4;100;9277;
обратно отсортирован_1;5;100;21047;
обратно отсортирован_1;6;100;56275;
обратно отсортирован_1;7;100;18465;
обратно отсортирован_1;8;100;84346;
обратно отсортирован_1;9;100;10430;
обратно отсортирован_1;10;100;44738;
обратно отсортирован_1;11;100;7729;
обратно отсортирован_1;12;100;9122;
обратно отсортирован_1;0;150;106609;
обратно отсортирован_1;1;150;473314;
обратно отсортирован_1;2;150;1263;
обратно отсортирован_1;3;150;455438;
обратно отсортирован_1;4;150;29234;
обратно отсортирован_1;5;150;39805;
обратно отсортирован_1;6;150;135364;
обратно отсортирован_1;7;150;26307;
обратно отсортирован_1;8;150;186409;
обратно отсортирован_1;9;150;13392;
обратно отсортирован_1;10;150;113614;
обратно отсортирован_1;11;150;14637;
обратно отсортирован_1;12;150;16176;
обратно отсортирован_1;0;200;190684;
обратно отсортирован_1;1;200;1020595;
обратно отсортирован_1;2;200;1905;
обратно отсортирован_1;3;200;590563;
обратно отсортирован_1;4;200;21204;
обратно отсортирован_1;5;200;58775;
обратно отсортирован_1;6;200;432208;
обратно отсортирован_1;7;200;145471;
обратно отсортирован_1;8;200;485814;
обратно отсортирован_1;9;200;20829;
обратно отсортирован_1;10;200;211448;
обратно отсортирован_1;11;200;19489;
обратно отсортирован_1;12;200;23607;
обратно отсортирован_1;0;250;273371;
обратно отсортирован_1;1;250;809932;
обратно отсортирован_1;2;250;3521;
обратно отсортирован_1;3;250;1630920;
обратно отсортирован_1;4;250;26477;
обратно отсортирован_1;5;250;76552;
обратно отсортирован_1;6;250;792872;
обратно отсортирован_1;7;250;89811;
обратно отсортирован_1;8;250;821385;
обратно отсортирован_1;9;250;22489;
