type;number of algorithm;size;operations;
рандом от 0 до 5_2;10;200;60542;
рандом от 0 до 5_2;11;200;6144;
рандом от 0 до 5_2;12;200;7146;
рандом от 0 до 5_2;0;300;118735;
рандом от 0 до 5_2;1;300;224250;
рандом от 0 до 5_2;2;300;268958;
рандом от 0 до 5_2;3;300;392235;
рандом от 0 до 5_2;4;300;5727;
рандом от 0 до 5_2;5;300;37797;
рандом от 0 до 5_2;6;300;95669;
рандом от 0 до 5_2;7;300;33520;
рандом от 0 до 5_2;8;300;20195;
рандом от 0 до 5_2;9;300;4928;
рандом от 0 до 5_2;10;300;135807;
рандом от 0 до 5_2;11;300;10032;
рандом от 0 до 5_2;12;300;12215;
рандом от 0 до 5_2;0;400;203521;
рандом от 0 до 5_2;1;400;399000;
рандом от 0 до 5_2;2;400;481218;
рандом от 0 до 5_2;3;400;712295;
рандом от 0 до 5_2;4;400;7627;
рандом от 0 до 5_2;5;400;51941;
рандом от 0 до 5_2;6;400;165549;
рандом от 0 до 5_2;7;400;46509;
рандом от 0 до 5_2;8;400;33363;
рандом от 0 до 5_2;9;400;6228;
рандом от 0 до 5_2;10;400;241103;
рандом от 0 до 5_2;11;400;14047;
рандом от 0 до 5_2;12;400;16724;
рандом от 0 до 5_2;0;500;309274;
рандом от 0 до 5_2;1;500;623750;
рандом от 0 до 5_2;2;500;759205;
рандом от 0 до 5_2;3;500;1110279;
рандом от 0 до 5_2;4;500;9527;
рандом от 0 до 5_2;5;500;68051;
рандом от 0 до 5_2;6;500;251429;
рандом от 0 до 5_2;7;500;59610;
рандом от 0 до 5_2;8;500;51085;
рандом от 0 до 5_2;9;500;7528;
рандом от 0 до 5_2;10;500;376391;
рандом от 0 до 5_2;11;500;18107;
рандом от 0 до 5_2;12;500;20188;
рандом от 0 до 5_2;0;600;443315;
рандом от 0 до 5_2;1;600;898500;
рандом от 0 до 5_2;2;600;1088093;
рандом от 0 до 5_2;3;600;1615000;
рандом от 0 до 5_2;4;600;11427;
рандом от 0 до 5_2;5;600;85113;
рандом от 0 до 5_2;6;600;364684;
рандом от 0 до 5_2;7;600;73597;
рандом от 0 до 5_2;8;600;69865;
рандом от 0 до 5_2;9;600;8828;
рандом от 0 до 5_2;10;600;541611;
рандом от 0 до 5_2;11;600;22603;
рандом от 0 до 5_2;12;600;28010;
рандом от 0 до 5_2;0;700;599443;
рандом от 0 до 5_2;1;700;1223250;
рандом от 0 до 5_2;2;700;1479232;
рандом от 0 до 5_2;3;700;2159377;
рандом от 0 до 5_2;4;700;13327;
рандом от 0 до 5_2;5;700;101546;
рандом от 0 до 5_2;6;700;497619;
рандом от 0 до 5_2;7;700;87777;
рандом от 0 до 5_2;8;700;93571;
рандом от 0 до 5_2;9;700;10128;
рандом от 0 до 5_2;10;700;736917;
рандом от 0 до 5_2;11;700;26519;
рандом от 0 до 5_2;12;700;31615;
рандом от 0 до 5_2;0;800;791538;
рандом от 0 до 5_2;1;800;1598000;
рандом от 0 до 5_2;2;800;1924152;
рандом от 0 до 5_2;3;800;2871462;
рандом от 0 до 5_2;4;800;15227;
рандом от 0 до 5_2;5;800;118497;
рандом от 0 до 5_2;6;800;657574;
рандом от 0 до 5_2;7;800;101787;
рандом от 0 до 5_2;8;800;123003;
рандом от 0 до 5_2;9;800;11428;
рандом от 0 до 5_2;10;800;962206;
рандом от 0 до 5_2;11;800;30950;
рандом от 0 до 5_2;12;800;38393;
рандом от 0 до 5_2;0;900;1002149;
рандом от 0 до 5_2;1;900;2022750;
рандом от 0 до 5_2;2;900;2452477;
рандом от 0 до 5_2;3;900;3616402;
рандом от 0 до 5_2;4;900;17127;
рандом от 0 до 5_2;5;900;135068;
рандом от 0 до 5_2;6;900;820954;
рандом от 0 до 5_2;7;900;116065;
рандом от 0 до 5_2;8;900;150439;
рандом от 0 до 5_2;9;900;12728;
рандом от 0 до 5_2;10;900;1217484;
рандом от 0 до 5_2;11;900;35898;
рандом от 0 до 5_2;12;900;42854;
рандом от 0 до 5_2;0;1000;1256415;
рандом от 0 до 5_2;1;1000;2497500;
рандом от 0 до 5_2;2;1000;3013150;
рандом от 0 до 5_2;3;1000;4492260;
рандом от 0 до 5_2;4;1000;19027;
рандом от 0 до 5_2;5;1000;151403;
рандом от 0 до 5_2;6;1000;1025824;
рандом от 0 до 5_2;7;1000;130185;
рандом от 0 до 5_2;8;1000;185405;
рандом от 0 до 5_2;9;1000;14028;
рандом от 0 до 5_2;10;1000;1502762;
