Number of substitution;Size of text;Size_of_alphabet;Size of pattern;Type of algorithm;Time(ns)
0;10000;4;300;Наивный алгоритм;211485
0;10000;4;300;Алгоритм КМП с применением стандартных граней;194940
0;10000;4;300;Алгоритм КМП с применением уточненных граней;193923
0;10000;4;400;Наивный алгоритм;173768
0;10000;4;400;Алгоритм КМП с применением стандартных граней;194341
0;10000;4;400;Алгоритм КМП с применением уточненных граней;191187
0;10000;4;500;Наивный алгоритм;178892
0;10000;4;500;Алгоритм КМП с применением стандартных граней;327711
0;10000;4;500;Алгоритм КМП с применением уточненных граней;199088
0;10000;4;600;Наивный алгоритм;279936
0;10000;4;600;Алгоритм КМП с применением стандартных граней;249185
0;10000;4;600;Алгоритм КМП с применением уточненных граней;279588
0;10000;4;700;Наивный алгоритм;198943
0;10000;4;700;Алгоритм КМП с применением стандартных граней;229141
0;10000;4;700;Алгоритм КМП с применением уточненных граней;231255
0;10000;4;800;Наивный алгоритм;232207
0;10000;4;800;Алгоритм КМП с применением стандартных граней;244389
0;10000;4;800;Алгоритм КМП с применением уточненных граней;215948
0;10000;4;900;Наивный алгоритм;173703
0;10000;4;900;Алгоритм КМП с применением стандартных граней;202854
0;10000;4;900;Алгоритм КМП с применением уточненных граней;213213
0;10000;4;1000;Наивный алгоритм;220965
0;10000;4;1000;Алгоритм КМП с применением стандартных граней;222884
0;10000;4;1000;Алгоритм КМП с применением уточненных граней;400474
0;10000;4;1100;Наивный алгоритм;279916
0;10000;4;1100;Алгоритм КМП с применением стандартных граней;313603
0;10000;4;1100;Алгоритм КМП с применением уточненных граней;274559
0;10000;4;1200;Наивный алгоритм;261955
0;10000;4;1200;Алгоритм КМП с применением стандартных граней;223753
0;10000;4;1200;Алгоритм КМП с применением уточненных граней;222534
0;10000;4;1300;Наивный алгоритм;167382
0;10000;4;1300;Алгоритм КМП с применением стандартных граней;215863
0;10000;4;1300;Алгоритм КМП с применением уточненных граней;226828
0;10000;4;1400;Наивный алгоритм;167426
0;10000;4;1400;Алгоритм КМП с применением стандартных граней;216041
0;10000;4;1400;Алгоритм КМП с применением уточненных граней;233812
0;10000;4;1500;Наивный алгоритм;158144
0;10000;4;1500;Алгоритм КМП с применением стандартных граней;429215
0;10000;4;1500;Алгоритм КМП с применением уточненных граней;288755
0;10000;4;1600;Наивный алгоритм;210654
0;10000;4;1600;Алгоритм КМП с применением стандартных граней;234153
0;10000;4;1600;Алгоритм КМП с применением уточненных граней;312988
0;10000;4;1700;Наивный алгоритм;198247
0;10000;4;1700;Алгоритм КМП с применением стандартных граней;265505
0;10000;4;1700;Алгоритм КМП с применением уточненных граней;282384
0;10000;4;1800;Наивный алгоритм;213939
0;10000;4;1800;Алгоритм КМП с применением стандартных граней;273877
0;10000;4;1800;Алгоритм КМП с применением уточненных граней;304469
0;10000;4;1900;Наивный алгоритм;206581
0;10000;4;1900;Алгоритм КМП с применением стандартных граней;274711
0;10000;4;1900;Алгоритм КМП с применением уточненных граней;386825
0;10000;4;2000;Наивный алгоритм;319077
0;10000;4;2000;Алгоритм КМП с применением стандартных граней;324803
0;10000;4;2000;Алгоритм КМП с применением уточненных граней;340198
0;10000;4;2100;Наивный алгоритм;199380
0;10000;4;2100;Алгоритм КМП с применением стандартных граней;282394
0;10000;4;2100;Алгоритм КМП с применением уточненных граней;265630
